"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"2056","OP Robotics","1","58.2","1915","1921","","","","","","","N/A","N/A","N/A","54-12-0","0.818"
"1114","Simbotics","2","58","1914","1919","","","","","","","N/A","N/A","N/A","58-5-0","0.921"
"148","Robowranglers","3","55.9","1895","1901","","","","","","","N/A","N/A","N/A","38-5-0","0.884"
"111","WildStang","4","55.6","1893","1898","","","","","","","N/A","N/A","N/A","46-5-0","0.902"
"987","HIGHROLLERS","5","54.2","1881","1886","","","","","","","N/A","N/A","N/A","44-11-0","0.800"
"2054","Tech Vikes","6","52.9","1870","1874","","","","","","","N/A","N/A","N/A","55-15-0","0.786"
"71","Team Hammond","7","51.8","1861","1865","","","","","","","N/A","N/A","N/A","39-9-0","0.813"
"217","ThunderChickens","8","51.6","1859","1863","","","","","","","N/A","N/A","N/A","71-16-0","0.816"
"254","The Cheesy Poofs","9","50.9","1853","1857","","","","","","","N/A","N/A","N/A","51-4-0","0.927"
"234","Cyber Blue","10","49.5","1841","1844","","","","","","","N/A","N/A","N/A","48-16-0","0.750"
"1717","D'Penguineers","11","48.9","1836","1839","","","","","","","N/A","N/A","N/A","34-12-0","0.739"
"330","The Beach Bots","12","48.5","1832","1835","","","","","","","N/A","N/A","N/A","42-9-0","0.824"
"16","Bomb Squad","13","47.5","1825","1827","","","","","","","N/A","N/A","N/A","35-7-0","0.833"
"2337","EngiNERDs","14","47.5","1825","1827","","","","","","","N/A","N/A","N/A","62-20-0","0.756"
"74","Team CHAOS","15","47.3","1822","1825","","","","","","","N/A","N/A","N/A","48-31-0","0.608"
"33","Killer Bees","16","47.1","1821","1823","","","","","","","N/A","N/A","N/A","56-13-0","0.812"
"469","Las Guerrillas","17","46.2","1814","1816","","","","","","","N/A","N/A","N/A","55-16-0","0.775"
"233","The Pink Team","18","46.2","1813","1815","","","","","","","N/A","N/A","N/A","39-12-0","0.765"
"1503","Spartonics","19","45.3","1806","1807","","","","","","","N/A","N/A","N/A","41-9-0","0.820"
"67","The HOT Team","20","45.3","1806","1807","","","","","","","N/A","N/A","N/A","47-18-0","0.723"
"118","Robonauts","21","44.9","1802","1804","","","","","","","N/A","N/A","N/A","48-10-0","0.828"
"1023","Bedford Express","22","44.7","1800","1802","","","","","","","N/A","N/A","N/A","47-22-0","0.681"
"2415","WiredCats","23","44.3","1797","1798","","","","","","","N/A","N/A","N/A","45-12-0","0.789"
"1538","The Holy Cows","24","43.3","1789","1790","","","","","","","N/A","N/A","N/A","33-10-0","0.767"
"78","AIR STRIKE","25","42.7","1784","1785","","","","","","","N/A","N/A","N/A","35-12-0","0.745"
"525","Swartdogs","26","42.4","1781","1781","","","","","","","N/A","N/A","N/A","38-6-0","0.864"
"245","Adambots","27","41.8","1776","1777","","","","","","","N/A","N/A","N/A","56-30-0","0.651"
"1986","Team Titanium","28","41.8","1776","1776","","","","","","","N/A","N/A","N/A","33-10-0","0.767"
"781","Kinetic Knights","29","41.7","1775","1776","","","","","","","N/A","N/A","N/A","51-17-0","0.750"
"1126","SPARX","30","41.6","1774","1774","","","","","","","N/A","N/A","N/A","27-6-0","0.818"
"2122","Team Tators","31","41.2","1771","1771","","","","","","","N/A","N/A","N/A","35-10-0","0.778"
"1730","Team Driven","32","41.1","1770","1771","","","","","","","N/A","N/A","N/A","37-7-0","0.841"
"2137","The Oxford RoboCats","33","41.1","1770","1770","","","","","","","N/A","N/A","N/A","51-14-0","0.785"
"573","Mech Warriors","34","40.9","1768","1768","","","","","","","N/A","N/A","N/A","37-21-0","0.638"
"1625","Winnovation","35","40.8","1768","1768","","","","","","","N/A","N/A","N/A","30-13-0","0.698"
"2363","Triple Helix Robotics","36","40.7","1766","1766","","","","","","","N/A","N/A","N/A","33-10-0","0.767"
