"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"71","Team Hammond","1","81.4","1908","1945","","","","","","","N/A","N/A","N/A","28-13-0","0.683"
"60","Kingman FIRST Robotics Team...","2","79.3","1890","1931","","","","","","","N/A","N/A","N/A","26-6-0","0.813"
"222","Tigertrons","3","78.2","1881","1923","","","","","","","N/A","N/A","N/A","32-10-0","0.762"
"69","HYPER","4","77.1","1872","1915","","","","","","","N/A","N/A","N/A","19-1-0","0.950"
"67","The HOT Team","5","75.7","1861","1906","","","","","","","N/A","N/A","N/A","39-16-0","0.709"
"45","TechnoKats Robotics Team","6","72.7","1835","1885","","","","","","","N/A","N/A","N/A","26-11-0","0.703"
"254","The Cheesy Poofs","7","71.7","1827","1878","","","","","","","N/A","N/A","N/A","30-8-0","0.789"
"945","Team Banana","8","68.9","1803","1858","","","","","","","N/A","N/A","N/A","25-8-0","0.758"
"233","The Pink Team","9","68.2","1798","1853","","","","","","","N/A","N/A","N/A","29-4-0","0.879"
"292","PantherTech","10","67.8","1794","1850","","","","","","","N/A","N/A","N/A","21-9-0","0.700"
"980","ThunderBots","11","67.6","1793","1849","","","","","","","N/A","N/A","N/A","25-6-0","0.806"
"236","Techno-Ticks","12","65","1771","1831","","","","","","","N/A","N/A","N/A","13-8-0","0.619"
"1114","Simbotics","13","64.5","1767","1828","","","","","","","N/A","N/A","N/A","36-12-0","0.750"
"175","Buzz Robotics","14","63.4","1758","1820","","","","","","","N/A","N/A","N/A","19-16-0","0.543"
"126","Gael Force","15","63.4","1757","1819","","","","","","","N/A","N/A","N/A","20-12-0","0.625"
"27","Team RUSH","16","63.3","1756","1819","","","","","","","N/A","N/A","N/A","24-8-0","0.750"
"525","Swartdogs","17","62.9","1753","1816","","","","","","","N/A","N/A","N/A","5-4-0","0.556"
"1272","Tyrannikal Mechanikal","18","62.6","1751","1814","","","","","","","N/A","N/A","N/A","10-8-0","0.556"
"281","The GreenVillains","19","62.4","1749","1813","","","","","","","N/A","N/A","N/A","22-8-0","0.733"
"33","Killer Bees","20","61.8","1744","1808","","","","","","","N/A","N/A","N/A","25-12-0","0.676"
"56","R.O.B.B.E.","21","61.8","1744","1808","","","","","","","N/A","N/A","N/A","23-10-0","0.697"
"47","Chief Delphi","22","60.9","1736","1802","","","","","","","N/A","N/A","N/A","25-10-0","0.714"
"1403","Team 1403 Cougar Robotics","23","60.8","1736","1801","","","","","","","N/A","N/A","N/A","15-7-0","0.682"
"107","Team R.O.B.O.T.I.C.S.","24","60.4","1732","1799","","","","","","","N/A","N/A","N/A","15-12-0","0.556"
"111","WildStang","25","59.8","1728","1795","","","","","","","N/A","N/A","N/A","16-12-0","0.571"
"486","Positronic Panthers","26","59.8","1727","1794","","","","","","","N/A","N/A","N/A","26-10-0","0.722"
"1241","THEORY6","27","59.4","1724","1791","","","","","","","N/A","N/A","N/A","16-7-0","0.696"
"272","Cyber Crusaders","28","59.3","1723","1791","","","","","","","N/A","N/A","N/A","16-5-0","0.762"
"782","Kilowatts","29","59.2","1722","1790","","","","","","","N/A","N/A","N/A","14-9-0","0.609"
"302","The Dragons","30","58.7","1718","1787","","","","","","","N/A","N/A","N/A","16-9-0","0.640"
"648","QC ELITE  Flaming Squirrels","31","58.5","1716","1785","","","","","","","N/A","N/A","N/A","14-9-0","0.609"
"522","ROBO WIZARDS","32","58.4","1715","1784","","","","","","","N/A","N/A","N/A","22-5-0","0.815"
"571","Team Paragon Robotics","33","57.5","1708","1778","","","","","","","N/A","N/A","N/A","25-11-0","0.694"
"469","Las Guerrillas","34","57.5","1708","1778","","","","","","","N/A","N/A","N/A","22-11-0","0.667"
"121","Rhode Warriors","35","57.3","1707","1777","","","","","","","N/A","N/A","N/A","19-11-0","0.633"
"16","Bomb Squad","36","57.3","1707","1777","","","","","","","N/A","N/A","N/A","24-9-0","0.727"
"303","The T.E.S.T. Team","37","57.3","1706","1777","","","","","","","N/A","N/A","N/A","20-9-0","0.690"
"501","The PowerKnights","38","57.1","1704","1775","","","","","","","N/A","N/A","N/A","13-2-0","0.867"
"968","RAWC (Robotics Alliance Of ...","39","57.1","1704","1775","","","","","","","N/A","N/A","N/A","13-8-0","0.619"
"237","Black Magic Robotics","40","57","1704","1775","","","","","","","N/A","N/A","N/A","22-9-0","0.710"
"176","Aces High","41","56.8","1702","1773","","","","","","","N/A","N/A","N/A","18-15-0","0.545"
"518","Blue Steel","42","56.8","1702","1773","","","","","","","N/A","N/A","N/A","11-8-0","0.579"
"494","Martians","43","56.7","1701","1772","","","","","","","N/A","N/A","N/A","36-16-0","0.692"
"650","Hella's Angels","44","56.2","1697","1769","","","","","","","N/A","N/A","N/A","6-0-0","1.000"
"61","BVT Robotics","45","55.9","1694","1767","","","","","","","N/A","N/A","N/A","9-8-0","0.529"
"340","G.R.R. (Greater Rochester R...","46","55.5","1690","1764","","","","","","","N/A","N/A","N/A","16-3-0","0.842"
"435","Robodogs","47","55.4","1690","1764","","","","","","","N/A","N/A","N/A","12-6-0","0.667"
"279","Tech Fusion","48","55.4","1689","1763","","","","","","","N/A","N/A","N/A","20-10-0","0.667"
"1188","Ravens","49","55","1685","1761","","","","","","","N/A","N/A","N/A","22-14-0","0.611"
"753","High Desert Droids","50","54","1676","1754","","","","","","","N/A","N/A","N/A","17-6-0","0.739"
"66","Grizzly Robotics","51","53.8","1674","1753","","","","","","","N/A","N/A","N/A","19-12-0","0.613"
"330","The Beach Bots","52","53.8","1674","1752","","","","","","","N/A","N/A","N/A","23-11-0","0.676"
"716","Who'sCTEKS","53","53.5","1671","1750","","","","","","","N/A","N/A","N/A","30-9-0","0.769"
"971","Spartan Robotics","54","53.4","1670","1750","","","","","","","N/A","N/A","N/A","18-3-0","0.857"
"131","CHAOS","55","53.2","1668","1748","","","","","","","N/A","N/A","N/A","7-0-0","1.000"
"456","Siege Robotics","56","53.2","1668","1748","","","","","","","N/A","N/A","N/A","14-8-0","0.636"
"1391","The Metal Moose","57","53","1666","1747","","","","","","","N/A","N/A","N/A","17-10-0","0.630"
"378","The Circuit Stompers","58","52.9","1665","1746","","","","","","","N/A","N/A","N/A","15-8-0","0.652"
"1218","SCH Robotics","59","52.9","1665","1746","","","","","","","N/A","N/A","N/A","21-16-0","0.568"
"381","Tornadoes","60","52.6","1663","1744","","","","","","","N/A","N/A","N/A","20-10-0","0.667"
"93","NEW Apple Corps","61","52.6","1662","1744","","","","","","","N/A","N/A","N/A","18-8-0","0.692"
