"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"2056","OP Robotics","1","40.1","2021","2035","","","","","","","N/A","N/A","N/A","58-10-0","0.853"
"987","HIGHROLLERS","2","38.7","2000","2014","","","","","","","N/A","N/A","N/A","48-3-0","0.941"
"67","The HOT Team","3","36.8","1972","1984","","","","","","","N/A","N/A","N/A","77-12-0","0.865"
"341","Miss Daisy","4","36.2","1962","1973","","","","","","","N/A","N/A","N/A","76-8-0","0.905"
"1717","D'Penguineers","5","35.9","1958","1969","","","","","","","N/A","N/A","N/A","39-5-0","0.886"
"1114","Simbotics","6","34","1928","1938","","","","","","","N/A","N/A","N/A","53-14-0","0.791"
"469","Las Guerrillas","7","33.9","1927","1937","","","","","","","N/A","N/A","N/A","78-8-0","0.907"
"254","The Cheesy Poofs","8","33.8","1925","1935","","","","","","","N/A","N/A","N/A","36-12-0","0.750"
"1983","Skunk Works Robotics","9","31.9","1897","1905","","","","","","","N/A","N/A","N/A","49-17-0","0.742"
"118","Robonauts","10","31.2","1886","1894","","","","","","","N/A","N/A","N/A","48-13-0","0.787"
"359","Hawaiian Kids","11","30.4","1874","1881","","","","","","","N/A","N/A","N/A","42-7-0","0.857"
"1023","Bedford Express","12","30","1867","1874","","","","","","","N/A","N/A","N/A","49-14-0","0.778"
"25","Raider Robotix","13","29.9","1867","1874","","","","","","","N/A","N/A","N/A","63-21-0","0.750"
"548","Robostangs","14","29.9","1866","1874","","","","","","","N/A","N/A","N/A","56-28-0","0.667"
"180","S.P.A.M.","15","29.4","1859","1865","","","","","","","N/A","N/A","N/A","45-10-0","0.818"
"2826","Wave Robotics","16","29.2","1856","1863","","","","","","","N/A","N/A","N/A","38-12-0","0.760"
"624","CRyptonite","17","29.1","1854","1860","","","","","","","N/A","N/A","N/A","37-10-0","0.787"
"330","The Beach Bots","18","28.7","1848","1854","","","","","","","N/A","N/A","N/A","32-9-0","0.780"
"2481","Roboteers","19","27.8","1835","1841","","","","","","","N/A","N/A","N/A","24-8-0","0.750"
"1218","SCH Robotics","20","27.8","1835","1841","","","","","","","N/A","N/A","N/A","64-21-0","0.753"
