"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"67","The HOT Team","1","8.3","2049","2156","","","","","","","N/A","N/A","N/A","66-11-0","0.857"
"1114","Simbotics","2","7.9","2021","2121","","","","","","","N/A","N/A","N/A","66-3-0","0.957"
"469","Las Guerrillas","3","7.2","1975","2065","","","","","","","N/A","N/A","N/A","56-16-0","0.778"
"254","The Cheesy Poofs","4","7.1","1968","2056","","","","","","","N/A","N/A","N/A","43-7-0","0.860"
"2056","OP Robotics","5","7","1958","2043","","","","","","","N/A","N/A","N/A","45-6-0","0.882"
"33","Killer Bees","6","6.5","1921","1998","","","","","","","N/A","N/A","N/A","52-16-0","0.765"
"1718","The Fighting Pi","7","6.2","1896","1967","","","","","","","N/A","N/A","N/A","51-14-0","0.785"
"1918","NC GEARS","8","5.9","1880","1947","","","","","","","N/A","N/A","N/A","51-13-0","0.797"
"25","Raider Robotix","9","5.8","1868","1931","","","","","","","N/A","N/A","N/A","41-5-0","0.891"
"16","Bomb Squad","10","5.4","1843","1901","","","","","","","N/A","N/A","N/A","37-11-0","0.771"
"573","Mech Warriors","11","5.4","1841","1899","","","","","","","N/A","N/A","N/A","44-19-0","0.698"
"148","Robowranglers","12","5.3","1833","1889","","","","","","","N/A","N/A","N/A","38-10-0","0.792"
"330","The Beach Bots","13","5.3","1831","1886","","","","","","","N/A","N/A","N/A","42-6-0","0.875"
"1717","D'Penguineers","14","5.2","1824","1877","","","","","","","N/A","N/A","N/A","34-12-0","0.739"
"1086","Blue Cheese","15","5.1","1820","1873","","","","","","","N/A","N/A","N/A","37-6-0","0.860"
"111","WildStang","16","5.1","1820","1873","","","","","","","N/A","N/A","N/A","31-12-0","0.721"
"217","ThunderChickens","17","5","1814","1865","","","","","","","N/A","N/A","N/A","70-15-0","0.824"
"910","The Foley Freeze","18","4.9","1805","1854","","","","","","","N/A","N/A","N/A","37-26-0","0.587"
"233","The Pink Team","19","4.9","1801","1849","","","","","","","N/A","N/A","N/A","26-14-0","0.650"
"71","Team Hammond","20","4.6","1785","1829","","","","","","","N/A","N/A","N/A","26-11-0","0.703"
"1676","The Pascack PI-oneers","21","4.6","1785","1829","","","","","","","N/A","N/A","N/A","38-9-0","0.809"
"1986","Team Titanium","22","4.6","1784","1828","","","","","","","N/A","N/A","N/A","36-10-0","0.783"
"27","Team RUSH","23","4.6","1781","1825","","","","","","","N/A","N/A","N/A","41-24-0","0.631"
"968","RAWC (Robotics Alliance Of ...","24","4.6","1780","1823","","","","","","","N/A","N/A","N/A","18-11-0","0.621"
"971","Spartan Robotics","25","4.5","1775","1817","","","","","","","N/A","N/A","N/A","24-5-0","0.828"
"1058","PVC Pirates","26","4.5","1772","1814","","","","","","","N/A","N/A","N/A","33-11-0","0.750"
"2619","The Charge","27","4.5","1772","1814","","","","","","","N/A","N/A","N/A","46-19-0","0.708"
"188","Blizzard","28","4.5","1772","1813","","","","","","","N/A","N/A","N/A","28-16-0","0.636"
"987","HIGHROLLERS","29","4.4","1769","1810","","","","","","","N/A","N/A","N/A","24-7-0","0.774"
"525","Swartdogs","30","4.4","1769","1809","","","","","","","N/A","N/A","N/A","34-12-0","0.739"
"2771","Code Red Robotics the Stray...","31","4.4","1767","1807","","","","","","","N/A","N/A","N/A","27-20-0","0.574"
"294","Beach Cities Robotics","32","4.4","1767","1807","","","","","","","N/A","N/A","N/A","39-14-0","0.736"
"1714","MORE Robotics","33","4.4","1764","1803","","","","","","","N/A","N/A","N/A","30-13-0","0.698"
"1922","Oz-Ram","34","4.3","1761","1800","","","","","","","N/A","N/A","N/A","31-14-0","0.689"
"1625","Winnovation","35","4.3","1761","1800","","","","","","","N/A","N/A","N/A","36-13-0","0.735"
"1519","Mechanical Mayhem","36","4.3","1759","1797","","","","","","","N/A","N/A","N/A","34-11-0","0.756"
"1592","Bionic Tigers","37","4.2","1756","1793","","","","","","","N/A","N/A","N/A","28-8-0","0.778"
"383","Brazilian Machine","38","4.2","1752","1788","","","","","","","N/A","N/A","N/A","23-5-0","0.821"
"2612","The Corsairs","39","4.2","1752","1788","","","","","","","N/A","N/A","N/A","38-26-0","0.594"
"2016","Mighty Monkey Wrenches","40","4.2","1750","1787","","","","","","","N/A","N/A","N/A","31-12-0","0.721"
"1732","Hilltopper Robotics","41","4.2","1749","1785","","","","","","","N/A","N/A","N/A","33-12-0","0.733"
"368","Team Kika Mana","42","4.1","1747","1783","","","","","","","N/A","N/A","N/A","29-12-0","0.707"
"1305","Ice Cubed","43","4.1","1745","1780","","","","","","","N/A","N/A","N/A","32-14-0","0.696"
"2775","Jackson Area Robotics","44","4","1740","1774","","","","","","","N/A","N/A","N/A","20-7-0","0.741"
"3138","Innovators Robotics","45","4","1739","1772","","","","","","","N/A","N/A","N/A","37-15-0","0.712"
"230","Gaelhawks","46","4","1739","1772","","","","","","","N/A","N/A","N/A","32-16-0","0.667"
"359","Hawaiian Kids","47","4","1738","1771","","","","","","","N/A","N/A","N/A","51-10-0","0.836"
"70","More Martians","48","4","1738","1771","","","","","","","N/A","N/A","N/A","39-21-0","0.650"
"2337","EngiNERDs","49","3.9","1731","1762","","","","","","","N/A","N/A","N/A","40-18-0","0.690"
"308","Monsters","50","3.9","1731","1762","","","","","","","N/A","N/A","N/A","30-26-0","0.536"
"1218","SCH Robotics","51","3.9","1728","1759","","","","","","","N/A","N/A","N/A","23-17-0","0.575"
"1208","Metool Brigade","52","3.9","1727","1758","","","","","","","N/A","N/A","N/A","30-8-0","0.789"
"703","Team Phoenix","53","3.9","1727","1758","","","","","","","N/A","N/A","N/A","25-20-0","0.556"
"201","The FEDS","54","3.8","1723","1753","","","","","","","N/A","N/A","N/A","35-23-0","0.603"
"179","Children of the Swamp","55","3.8","1723","1753","","","","","","","N/A","N/A","N/A","8-4-0","0.667"
"842","Falcon Robotics","56","3.8","1723","1753","","","","","","","N/A","N/A","N/A","24-12-0","0.667"
"830","The RatPack","57","3.8","1721","1750","","","","","","","N/A","N/A","N/A","37-18-0","0.673"
"51","Wings of Fire","58","3.8","1721","1750","","","","","","","N/A","N/A","N/A","35-22-0","0.614"
"78","AIR STRIKE","59","3.8","1721","1750","","","","","","","N/A","N/A","N/A","20-8-0","0.714"
"1511","Rolling Thunder","60","3.8","1720","1748","","","","","","","N/A","N/A","N/A","23-17-0","0.575"
"1124","UberBots","61","3.7","1717","1746","","","","","","","N/A","N/A","N/A","29-13-0","0.690"
"2753","Team Overdrive","62","3.7","1714","1741","","","","","","","N/A","N/A","N/A","21-15-0","0.583"
