"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1323","MadTown Robotics","1","45.3","2039","1941","3.6","32.5","9.3","0.93","0.69","","N/A","N/A","N/A","51-5-0","0.911"
"5460","Strike Zone","2","41.5","1959","1885","5.3","28.6","7.5","0.64","0.36","","N/A","N/A","N/A","57-20-0","0.740"
"254","The Cheesy Poofs","3","41.4","1957","1884","5","27.2","9.2","0.43","0.43","","N/A","N/A","N/A","51-4-0","0.927"
"2910","Jack in the Bot","4","41.2","1954","1882","5.8","28","7.4","0.05","0.55","","N/A","N/A","N/A","74-11-0","0.871"
"1114","Simbotics","5","41.1","1952","1881","4.9","27.2","9.1","0.51","0.81","","N/A","N/A","N/A","66-4-0","0.943"
"1678","Citrus Circuits","6","40.8","1944","1875","4.3","26.5","10","0.85","0.77","","N/A","N/A","N/A","62-10-0","0.861"
"2056","OP Robotics","7","40.1","1929","1865","5","26.9","8.2","0.62","0.73","","N/A","N/A","N/A","64-6-0","0.914"
"971","Spartan Robotics","8","39.4","1916","1856","5.6","25.1","8.7","0.43","0.75","","N/A","N/A","N/A","46-10-0","0.821"
"3707","TechnoDogs","9","39.1","1909","1851","4","25.5","9.5","0.02","0.39","","N/A","N/A","N/A","67-11-0","0.859"
"1325","Inverse Paradox","10","38.4","1894","1840","5.1","28","5.3","0.58","0.07","","N/A","N/A","N/A","53-17-0","0.757"
"3310","Black Hawk Robotics","11","38.1","1888","1836","4.3","25.1","8.6","0.58","0.54","","N/A","N/A","N/A","67-10-0","0.870"
"225","TechFire","12","38","1887","1835","5.5","25.3","7.2","0.35","0.51","","N/A","N/A","N/A","50-15-0","0.769"
"3538","RoboJackets","13","37.3","1872","1825","5.3","25.6","6.3","0.41","0.62","","N/A","N/A","N/A","84-18-0","0.824"
"910","The Foley Freeze","14","37.2","1869","1823","3.8","27","6.4","0.75","0.56","","N/A","N/A","N/A","50-29-0","0.633"
"148","Robowranglers","15","37.1","1867","1822","4.6","25.3","7.1","0.61","0.53","","N/A","N/A","N/A","66-10-0","0.868"
"6569","Gladiators","16","36.9","1863","1818","4.2","24.6","8.1","-0.17","0.51","","N/A","N/A","N/A","46-15-0","0.754"
"973","Greybots","17","36.8","1862","1818","5.3","23","8.5","0.08","0.78","","N/A","N/A","N/A","48-8-0","0.857"
"364","Team Fusion 364","18","36.7","1859","1816","5.6","22.9","8.3","0.11","0.66","","N/A","N/A","N/A","42-4-0","0.913"
"5172","Gators","19","36.4","1854","1812","5.9","24.4","6.2","0.15","0.55","","N/A","N/A","N/A","42-6-0","0.875"
"133","B.E.R.T.","20","36.3","1852","1811","5.7","24","6.7","0.54","0.78","","N/A","N/A","N/A","69-26-0","0.726"
"5687","The Outliers","21","36.2","1848","1808","4.6","26.2","5.4","0.41","0.58","","N/A","N/A","N/A","67-16-0","0.807"
"2481","Roboteers","22","35.7","1838","1801","5","24.3","6.4","0.49","0.33","","N/A","N/A","N/A","35-12-0","0.745"
"2200","BCR Blackout","23","35.6","1837","1800","3.2","25.7","6.7","0.14","0.55","","N/A","N/A","N/A","47-18-0","0.723"
"330","The Beach Bots","24","35.4","1831","1797","5.6","24.1","5.6","0.26","0.43","","N/A","N/A","N/A","41-6-0","0.872"
"1796","RoboTigers","25","35.3","1831","1796","4","24.4","6.9","0.39","0.52","","N/A","N/A","N/A","52-13-0","0.800"
"987","HIGHROLLERS","26","35.1","1826","1793","5.5","21.1","8.5","0.42","0.65","","N/A","N/A","N/A","42-10-0","0.808"
"33","Killer Bees","27","35","1824","1791","5.1","22.4","7.5","0.2","0.68","","N/A","N/A","N/A","73-19-0","0.793"
"2046","Bear Metal","28","35","1823","1791","5.5","22.3","7.1","0.43","0.62","","N/A","N/A","N/A","78-15-0","0.839"
"346","RoboHawks","29","34.8","1821","1789","5.2","20.9","8.8","-0.17","0.61","","N/A","N/A","N/A","57-17-0","0.770"
"2478","Westwood Robotics","30","34.5","1814","1785","5.8","20.7","8.1","0.06","0.8","","N/A","N/A","N/A","42-7-0","0.857"
"2767","Stryke Force","31","34.5","1814","1784","4.3","20.5","9.7","0.4","0.71","","N/A","N/A","N/A","58-14-0","0.806"
"2851","Crevolution","32","34.4","1811","1782","5.5","23.1","5.8","0.45","0.32","","N/A","N/A","N/A","42-22-0","0.656"
"5406","Celt-X","33","34.3","1809","1781","5.6","21","7.7","0.32","0.83","","N/A","N/A","N/A","63-16-0","0.797"
"78","AIR STRIKE","34","34.2","1807","1780","4.2","22.6","7.4","0.33","0.67","","N/A","N/A","N/A","67-18-0","0.788"
"2122","Team Tators","35","34.1","1804","1778","3.5","23.5","7.2","0.34","0.4","","N/A","N/A","N/A","47-24-0","0.662"
"1690","Orbit","36","34.1","1804","1778","4.7","22.3","7.1","0.46","0.71","","N/A","N/A","N/A","49-17-0","0.742"
"179","Children of the Swamp","37","33.9","1802","1776","5.2","22.5","6.3","0.47","0.34","","N/A","N/A","N/A","40-10-0","0.800"
"195","CyberKnights","38","33.9","1800","1775","4.1","24.4","5.4","0.35","0.38","","N/A","N/A","N/A","70-23-0","0.753"
"870","TEAM  R. I. C. E.","39","33.8","1799","1774","5.2","20.4","8.2","0.3","0.65","","N/A","N/A","N/A","39-9-0","0.813"
"1807","Redbird Robotics","40","33.7","1797","1773","4.5","22.8","6.4","0.12","0.44","","N/A","N/A","N/A","58-29-0","0.667"
"4362","Gems","41","33.6","1795","1772","4.5","24","5.2","0.5","0.33","","N/A","N/A","N/A","60-25-0","0.706"
"180","S.P.A.M.","42","33.6","1795","1771","3.9","20.5","9.2","0.06","0.57","","N/A","N/A","N/A","29-13-0","0.690"
"359","Hawaiian Kids","43","33.5","1793","1770","5.5","18.6","9.4","0","0.81","","N/A","N/A","N/A","68-11-0","0.861"
"4911","CyberKnights","44","33.4","1790","1768","4.7","23.2","5.6","0.48","0.33","","N/A","N/A","N/A","52-24-0","0.684"
"2168","Aluminum Falcons","45","33.2","1787","1766","5.1","21.5","6.7","0.53","0.45","","N/A","N/A","N/A","61-26-0","0.701"
"2791","Shaker Robotics","46","33.2","1786","1765","4.6","21.8","6.8","0.64","0.39","","N/A","N/A","N/A","42-12-0","0.778"
"4946","The Alpha Dogs","47","33.1","1784","1764","5.3","21.1","6.7","0.26","0.54","","N/A","N/A","N/A","31-27-0","0.534"
"319","Big Bad Bob","48","33","1783","1763","2.9","24.4","5.7","0.34","0.4","","N/A","N/A","N/A","65-22-0","0.747"
"604","Quixilver","49","33","1782","1763","5.7","18.2","9.1","0.08","0.72","","N/A","N/A","N/A","33-13-0","0.717"
"3683","Team DAVE","50","32.9","1780","1761","5.1","23.5","4.3","0.42","0.27","","N/A","N/A","N/A","58-11-0","0.841"
"649","MSET Fish","51","32.9","1780","1761","4.3","20.7","7.9","0.07","0.6","","N/A","N/A","N/A","32-12-0","0.727"
"1102","M'Aiken Magic","52","32.9","1779","1761","3.6","23.2","6.1","0.32","0.48","","N/A","N/A","N/A","40-22-0","0.645"
"1918","NC GEARS","53","32.9","1779","1761","5.3","23","4.6","0.49","0.4","","N/A","N/A","N/A","43-19-0","0.694"
"1310","Runnymede Robotics","54","32.9","1779","1761","5.4","17.9","9.6","-0.13","0.67","","N/A","N/A","N/A","54-24-0","0.692"
"1619","Up-A-Creek Robotics","55","32.8","1778","1759","4.2","20.3","8.3","0.37","0.62","","N/A","N/A","N/A","37-9-0","0.804"
"1506","Metal Muscle","56","32.7","1776","1758","3.6","21.3","7.8","0.01","0.72","","N/A","N/A","N/A","39-20-0","0.661"
"610","Crescent Coyotes","57","32.6","1774","1757","5.2","20.6","6.9","0.05","0.52","","N/A","N/A","N/A","43-22-0","0.662"
"3604","Goon Squad","58","32.6","1774","1756","4.7","21.8","6.1","-0.08","0.57","","N/A","N/A","N/A","47-28-0","0.627"
"107","Team R.O.B.O.T.I.C.S.","59","32.6","1773","1756","4.6","19.7","8.2","-0.12","0.64","","N/A","N/A","N/A","40-20-0","0.667"
"5050","Cow Town Robotics","60","32.5","1772","1755","5.1","19.7","7.7","-0.06","0.71","","N/A","N/A","N/A","54-16-0","0.771"
"3667","Mecanum Knights","61","32.5","1771","1754","4.4","18.5","9.6","-0.15","0.71","","N/A","N/A","N/A","41-16-0","0.719"
"340","G.R.R. (Greater Rochester R...","62","32.4","1770","1754","4.1","20.8","7.6","0.09","0.56","","N/A","N/A","N/A","32-16-0","0.667"
"20","The Rocketeers","63","32.2","1766","1751","4.8","19.2","8.3","0.22","0.7","","N/A","N/A","N/A","39-7-0","0.848"
"5190","Falcon Fury","64","32.2","1766","1751","3.2","20.1","8.9","0.14","0.71","","N/A","N/A","N/A","49-19-0","0.721"
"5199","Robot Dolphins From Outer S...","65","32.1","1764","1750","3","20.8","8.3","0.35","0.6","","N/A","N/A","N/A","43-18-0","0.705"
"930","Mukwonago BEARs","66","32","1761","1748","3.7","22.3","6","0.36","0.33","","N/A","N/A","N/A","50-19-0","0.725"
"2990","Hotwire","67","32","1761","1748","3.4","22.2","6.4","0","0.47","","N/A","N/A","N/A","50-14-0","0.781"
"694","StuyPulse","68","31.9","1760","1747","5.3","18.4","8.2","0","0.52","","N/A","N/A","N/A","48-21-0","0.696"
"3309","Friarbots","69","31.9","1759","1747","5","19.5","7.4","0.12","0.49","","N/A","N/A","N/A","41-21-0","0.661"
"3542","S.P.E.E.D","70","31.8","1756","1745","4.2","21.7","5.9","0.23","0.44","","N/A","N/A","N/A","51-24-0","0.680"
"842","Falcon Robotics","71","31.7","1756","1744","4.9","20.7","6.1","0.38","0.41","","N/A","N/A","N/A","27-18-0","0.600"
"1540","Flaming Chickens","72","31.7","1754","1743","4.6","21.1","5.9","-0.16","0.55","","N/A","N/A","N/A","40-18-0","0.690"
"3641","The Flying Toasters","73","31.7","1754","1743","3.3","22","6.4","0.36","0.56","","N/A","N/A","N/A","61-25-0","0.709"
"619","Cavalier Robotics","74","31.6","1753","1742","5.3","20.2","6.1","0.09","0.37","","N/A","N/A","N/A","41-25-0","0.621"
"2826","Wave Robotics","75","31.6","1753","1742","4","19.1","8.5","0.4","0.62","","N/A","N/A","N/A","32-12-0","0.727"
"1771","North Gwinnett Robotics","76","31.6","1753","1742","5.8","16.9","8.9","-0.08","0.69","","N/A","N/A","N/A","48-22-0","0.686"
"4910","East Cobb Robotics","77","31.6","1752","1741","3.3","19.2","9","0.2","0.74","","N/A","N/A","N/A","53-16-0","0.768"
"115","MVRT","78","31.5","1751","1741","5.6","19.6","6.3","-0.01","0.27","","N/A","N/A","N/A","21-11-0","0.656"
"3937","Breakaway","79","31.5","1751","1741","4.2","24.6","2.7","0.67","0.04","","N/A","N/A","N/A","21-16-0","0.568"
"3647","Millennium Falcons","80","31.5","1751","1741","5.1","23","3.4","0.51","0.06","","N/A","N/A","N/A","50-18-0","0.735"
"2403","Plasma Robotics","81","31.5","1750","1740","4.9","17.5","9.1","0.14","0.68","","N/A","N/A","N/A","33-18-0","0.647"
"1023","Bedford Express","82","31.4","1748","1739","3.7","20.4","7.3","0.24","0.69","","N/A","N/A","N/A","48-20-0","0.706"
"4020","Cyber Tribe","83","31.4","1748","1739","5.5","18","7.9","-0.08","0.6","","N/A","N/A","N/A","33-12-0","0.733"
"118","Robonauts","84","31.3","1747","1738","4","21.1","6.2","0.55","0.75","","N/A","N/A","N/A","74-11-0","0.871"
"368","Team Kika Mana","85","31.3","1747","1738","6","18.6","6.8","-0.22","0.43","","N/A","N/A","N/A","29-13-0","0.690"
"59","RamTech","86","31.3","1746","1737","5.6","19.4","6.3","0.22","0.18","","N/A","N/A","N/A","28-15-0","0.651"
