"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"973","Greybots","1","92.3","1954","1840","26.1","39.5","26.7","-0.34","0.35","","N/A","N/A","N/A","16-2-0","0.889"
"5172","Gators","2","90.3","1939","1828","29","37.2","24.2","-0.34","0.09","","N/A","N/A","N/A","10-5-0","0.667"
"1690","Orbit","3","89.2","1930","1822","24.2","35.4","29.7","-0.34","0.19","","N/A","N/A","N/A","18-0-0","1.000"
"148","Robowranglers","4","88.4","1924","1818","24.7","31.7","32.1","-0.34","0.18","","N/A","N/A","N/A","17-1-0","0.944"
"118","Robonauts","5","81.3","1870","1779","23.2","35.4","22.7","-0.34","0.12","","N/A","N/A","N/A","15-3-0","0.833"
"1678","Citrus Circuits","6","80.9","1867","1776","34","27","19.9","-0.34","0.22","","N/A","N/A","N/A","14-4-0","0.778"
"987","HIGHROLLERS","7","80.5","1864","1774","23.8","32.9","23.8","-0.34","0.11","","N/A","N/A","N/A","16-0-0","1.000"
"2200","BCR Blackout","8","80.3","1862","1773","19","32","29.3","-0.34","0.31","","N/A","N/A","N/A","15-3-0","0.833"
"1619","Up-A-Creek Robotics","9","80.1","1860","1771","27.9","26.2","25.9","-0.34","0.2","","N/A","N/A","N/A","14-1-0","0.933"
"694","StuyPulse","10","79.8","1859","1770","26.1","28.3","25.4","-0.34","0.17","","N/A","N/A","N/A","15-0-0","1.000"
"7498","Wingus & Dingus","11","77.7","1843","1759","17.1","30","30.6","-0.34","0.37","","N/A","N/A","N/A","17-0-0","1.000"
"67","The HOT Team","12","77.4","1840","1757","26","22","29.4","-0.34","0.48","","N/A","N/A","N/A","16-3-0","0.842"
"4910","East Cobb Robotics","13","76.9","1837","1754","24.3","26.1","26.5","-0.34","0.09","","N/A","N/A","N/A","15-3-0","0.833"
"2168","Aluminum Falcons","14","76.9","1836","1754","22.5","27.6","26.8","-0.34","0.28","","N/A","N/A","N/A","17-1-0","0.944"
