"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"74","Team CHAOS","1","28.8","1917","1854","","","","","","","N/A","N/A","N/A","24-13-0","0.649"
"233","The Pink Team","2","27.5","1888","1834","","","","","","","N/A","N/A","N/A","34-9-0","0.791"
"254","The Cheesy Poofs","3","26.1","1855","1811","","","","","","","N/A","N/A","N/A","29-7-0","0.806"
"56","R.O.B.B.E.","4","25.4","1839","1800","","","","","","","N/A","N/A","N/A","42-9-0","0.824"
"330","The Beach Bots","5","25.3","1838","1800","","","","","","","N/A","N/A","N/A","14-1-0","0.933"
"68","Truck Town Thunder","6","25.2","1835","1797","","","","","","","N/A","N/A","N/A","29-9-0","0.763"
"118","Robonauts","7","24.4","1817","1785","","","","","","","N/A","N/A","N/A","39-6-0","0.867"
"852","ARC Robotics","8","23.3","1792","1768","","","","","","","N/A","N/A","N/A","13-5-0","0.722"
"69","HYPER","9","23.2","1789","1765","","","","","","","N/A","N/A","N/A","14-1-0","0.933"
"245","Adambots","10","23.1","1786","1763","","","","","","","N/A","N/A","N/A","34-13-0","0.723"
"980","ThunderBots","11","23","1784","1762","","","","","","","N/A","N/A","N/A","21-10-0","0.677"
"67","The HOT Team","12","22.6","1776","1756","","","","","","","N/A","N/A","N/A","42-15-0","0.737"
"103","Cybersonics","13","22.5","1773","1754","","","","","","","N/A","N/A","N/A","29-15-0","0.659"
"236","Techno-Ticks","14","22.4","1770","1753","","","","","","","N/A","N/A","N/A","16-9-0","0.640"
"418","Purple Haze","15","21.4","1748","1737","","","","","","","N/A","N/A","N/A","13-3-0","0.813"
"662","Rocky Mountain Robotics","16","21.3","1744","1734","","","","","","","N/A","N/A","N/A","14-8-0","0.636"
"45","TechnoKats Robotics Team","17","21.2","1742","1733","","","","","","","N/A","N/A","N/A","16-9-0","0.640"
"71","Team Hammond","18","21.2","1742","1733","","","","","","","N/A","N/A","N/A","20-7-0","0.741"
"375","Robotic Plague","19","21.1","1741","1732","","","","","","","N/A","N/A","N/A","28-14-0","0.667"
"33","Killer Bees","20","20.9","1736","1729","","","","","","","N/A","N/A","N/A","38-20-0","0.655"
"222","Tigertrons","21","20.6","1728","1723","","","","","","","N/A","N/A","N/A","12-8-0","0.600"
"910","The Foley Freeze","22","20.4","1725","1721","","","","","","","N/A","N/A","N/A","26-12-0","0.684"
"173","RAGE Robotics ⚙️","23","20.4","1724","1720","","","","","","","N/A","N/A","N/A","17-8-0","0.680"
"66","Grizzly Robotics","24","20.3","1722","1719","","","","","","","N/A","N/A","N/A","28-12-0","0.700"
"312","HeatWave","25","20.3","1722","1719","","","","","","","N/A","N/A","N/A","22-16-0","0.579"
"16","Bomb Squad","26","20.2","1719","1717","","","","","","","N/A","N/A","N/A","8-3-0","0.727"
"1114","Simbotics","27","20","1715","1714","","","","","","","N/A","N/A","N/A","22-15-0","0.595"
"174","Arctic Warriors","28","19.9","1713","1713","","","","","","","N/A","N/A","N/A","8-5-0","0.615"
"1507","Warlocks","29","19.8","1711","1711","","","","","","","N/A","N/A","N/A","8-3-0","0.727"
"217","ThunderChickens","30","19.8","1710","1711","","","","","","","N/A","N/A","N/A","22-10-0","0.688"
"358","Robotic Eagles","31","19.7","1708","1709","","","","","","","N/A","N/A","N/A","17-8-0","0.680"
"368","Team Kika Mana","32","19.5","1704","1706","","","","","","","N/A","N/A","N/A","25-16-0","0.610"
"343","Metal-In-Motion","33","19.4","1700","1704","","","","","","","N/A","N/A","N/A","23-13-0","0.639"
"809","The TechnoWizards","34","19.4","1700","1704","","","","","","","N/A","N/A","N/A","14-13-0","0.519"
"27","Team RUSH","35","19.3","1698","1702","","","","","","","N/A","N/A","N/A","34-13-0","0.723"
"456","Siege Robotics","36","19.1","1694","1700","","","","","","","N/A","N/A","N/A","12-4-0","0.750"
"231","High Voltage","37","19.1","1694","1700","","","","","","","N/A","N/A","N/A","21-4-0","0.840"
"60","Kingman FIRST Robotics Team...","38","18.9","1688","1696","","","","","","","N/A","N/A","N/A","9-10-0","0.474"
"61","BVT Robotics","39","18.9","1688","1696","","","","","","","N/A","N/A","N/A","6-6-0","0.500"
"868","TechHOUNDS","40","18.7","1685","1694","","","","","","","N/A","N/A","N/A","15-9-0","0.625"
"388","Maximum Oz","41","18.6","1681","1692","","","","","","","N/A","N/A","N/A","8-3-0","0.727"
"766","M-A Bears","42","18.6","1681","1692","","","","","","","N/A","N/A","N/A","22-11-0","0.667"
"987","HIGHROLLERS","43","18.3","1674","1687","","","","","","","N/A","N/A","N/A","23-6-0","0.793"
"179","Children of the Swamp","44","18.3","1673","1687","","","","","","","N/A","N/A","N/A","31-14-0","0.689"
"293","SPIKE","45","18.3","1672","1686","","","","","","","N/A","N/A","N/A","20-15-0","0.571"
"25","Raider Robotix","46","18.2","1671","1685","","","","","","","N/A","N/A","N/A","23-14-0","0.622"
"237","Black Magic Robotics","47","18.2","1670","1685","","","","","","","N/A","N/A","N/A","14-9-0","0.609"
"40","Checkmate","48","18.2","1670","1685","","","","","","","N/A","N/A","N/A","20-9-0","0.690"
"845","Cutting Edge","49","18.1","1668","1684","","","","","","","N/A","N/A","N/A","22-11-0","0.667"
"279","Tech Fusion","50","18","1666","1683","","","","","","","N/A","N/A","N/A","27-12-0","0.692"
"378","The Circuit Stompers","51","18","1664","1682","","","","","","","N/A","N/A","N/A","8-7-0","0.533"
"1126","SPARX","52","18","1664","1681","","","","","","","N/A","N/A","N/A","16-8-0","0.667"
"229","Division By Zero","53","17.9","1662","1680","","","","","","","N/A","N/A","N/A","19-10-0","0.655"
"359","Hawaiian Kids","54","17.8","1661","1680","","","","","","","N/A","N/A","N/A","16-9-0","0.640"
"159","Alpine Robotics","55","17.2","1648","1669","","","","","","","N/A","N/A","N/A","16-10-0","0.615"
"126","Gael Force","56","17.1","1646","1667","","","","","","","N/A","N/A","N/A","17-7-0","0.708"
"492","Titan Robotics Club","57","16.9","1643","1664","","","","","","","N/A","N/A","N/A","13-6-0","0.684"
"111","WildStang","58","16.8","1641","1663","","","","","","","N/A","N/A","N/A","19-7-0","0.731"
"337","Hard Working Hard Hats","59","16.8","1641","1663","","","","","","","N/A","N/A","N/A","22-12-0","0.647"
"38","Nonnebots","60","16.8","1640","1662","","","","","","","N/A","N/A","N/A","17-8-0","0.680"
"135","Penn Robotics Black Knights","61","16.7","1640","1662","","","","","","","N/A","N/A","N/A","20-6-0","0.769"
"1305","Ice Cubed","62","16.7","1638","1661","","","","","","","N/A","N/A","N/A","31-8-0","0.795"
"494","Martians","63","16.6","1638","1660","","","","","","","N/A","N/A","N/A","25-20-0","0.556"
"365","Miracle Workerz","64","16.6","1638","1660","","","","","","","N/A","N/A","N/A","25-9-0","0.735"
