"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"2056","OP Robotics","1","70.4","2008","1928","19.1","38.4","13","0.75","0.66","","N/A","N/A","N/A","64-15-0","0.810"
"195","CyberKnights","2","69.8","2001","1922","20.2","38.4","11.1","0.71","0.42","","N/A","N/A","N/A","64-11-0","0.853"
"971","Spartan Robotics","3","67.3","1973","1900","23.2","35.3","8.8","0.59","0.61","","N/A","N/A","N/A","37-7-0","0.841"
"148","Robowranglers","4","67.3","1972","1900","14.4","40.1","12.7","0.65","0.47","","N/A","N/A","N/A","59-11-0","0.843"
"254","The Cheesy Poofs","5","66.7","1966","1895","16.7","41.9","8.1","0.69","0.48","","N/A","N/A","N/A","43-5-0","0.896"
"1678","Citrus Circuits","6","65.4","1951","1882","20.2","38.1","7.1","0.67","0.38","","N/A","N/A","N/A","59-4-0","0.937"
"118","Robonauts","7","64","1935","1870","17.8","37","9.2","0.61","0.48","","N/A","N/A","N/A","49-10-0","0.831"
"1241","THEORY6","8","63.1","1924","1862","18.9","37.2","7","0.57","0.55","","N/A","N/A","N/A","60-13-0","0.822"
"230","Gaelhawks","9","62.9","1923","1860","16","43.3","3.5","0.46","0.38","","N/A","N/A","N/A","55-30-0","0.647"
"5172","Gators","10","61.8","1910","1850","17.1","34.8","9.9","0.32","0.08","","N/A","N/A","N/A","35-8-0","0.814"
"330","The Beach Bots","11","61.2","1903","1844","14.7","35.9","10.6","0.58","0.29","","N/A","N/A","N/A","49-10-0","0.831"
"1519","Mechanical Mayhem","12","59.7","1886","1831","18.7","36.2","4.7","0.64","0.29","","N/A","N/A","N/A","57-8-0","0.877"
"133","B.E.R.T.","13","59.3","1882","1828","18","30.8","10.4","0.55","0.42","","N/A","N/A","N/A","58-11-0","0.841"
"67","The HOT Team","14","59.3","1882","1827","15.8","31.1","12.3","0.51","0.41","","N/A","N/A","N/A","62-10-0","0.861"
"2481","Roboteers","15","59.3","1882","1827","19.5","33.2","6.6","0.52","0.27","","N/A","N/A","N/A","52-8-0","0.867"
"4334","Alberta Tech Alliance (ATA)","16","58.6","1874","1821","15","38.9","4.7","0.61","0.38","","N/A","N/A","N/A","42-7-0","0.857"
"1690","Orbit","17","58.3","1870","1818","14.1","39.3","4.9","0.53","0.15","","N/A","N/A","N/A","32-9-0","0.780"
"987","HIGHROLLERS","18","58.1","1868","1816","16","35.1","7","0.71","0.48","","N/A","N/A","N/A","61-9-0","0.871"
"1501","Team THRUST","19","58","1867","1816","18","28.5","11.5","0.44","0.33","","N/A","N/A","N/A","68-22-0","0.756"
"33","Killer Bees","20","57.3","1859","1809","12","33.3","12","0.52","0.39","","N/A","N/A","N/A","52-15-0","0.776"
"4678","CyberCavs","21","57.2","1858","1808","16.5","32.7","8","0.49","0.32","","N/A","N/A","N/A","34-15-0","0.694"
"225","TechFire","22","56.4","1848","1801","17.1","30.8","8.5","0.66","0.38","","N/A","N/A","N/A","59-12-0","0.831"
"179","Children of the Swamp","23","56.3","1847","1800","12.6","31.4","12.2","0.49","0.33","","N/A","N/A","N/A","50-15-0","0.769"
"3620","Average Joes","24","56.2","1846","1799","14.4","35.6","6.1","0.63","0.38","","N/A","N/A","N/A","49-17-0","0.742"
"1114","Simbotics","25","54.5","1827","1784","17.7","27.5","9.3","0.61","0.3","","N/A","N/A","N/A","34-16-0","0.680"
"27","Team RUSH","26","54.4","1826","1783","12","35.6","6.8","0.58","0.43","","N/A","N/A","N/A","68-19-0","0.782"
"5460","Strike Zone","27","53.8","1819","1777","9.4","35.9","8.4","0.48","0.39","","N/A","N/A","N/A","51-25-0","0.671"
"217","ThunderChickens","28","53.7","1818","1777","13","29.7","11","0.52","0.42","","N/A","N/A","N/A","52-26-0","0.667"
"2122","Team Tators","29","53.5","1816","1775","13.9","28.3","11.3","0.65","0.45","","N/A","N/A","N/A","42-11-0","0.792"
"1024","Kil-A-Bytes","30","53.5","1816","1775","13.5","35.2","4.7","0.63","0.42","","N/A","N/A","N/A","69-21-0","0.767"
"16","Bomb Squad","31","53.2","1812","1772","12.1","28","13.1","0.67","0.49","","N/A","N/A","N/A","35-8-0","0.814"
"2767","Stryke Force","32","53","1811","1771","14.2","31","7.8","0.65","0.29","","N/A","N/A","N/A","48-15-0","0.762"
"868","TechHOUNDS","33","53","1811","1771","14.8","32.2","6","0.5","0.26","","N/A","N/A","N/A","53-27-0","0.662"
"558","Elm City Robo Squad","34","52.9","1809","1769","11","30.4","11.5","0.71","0.29","","N/A","N/A","N/A","46-22-0","0.676"
"1986","Team Titanium","35","52.9","1809","1769","16.2","28.9","7.8","0.66","0.17","","N/A","N/A","N/A","43-8-0","0.843"
"3476","Code Orange","36","52.5","1804","1766","15.8","28.8","7.9","0.36","0.28","","N/A","N/A","N/A","32-16-0","0.667"
"610","Crescent Coyotes","37","52.5","1804","1765","9.4","31.7","11.3","0.54","0.35","","N/A","N/A","N/A","32-17-0","0.653"
"359","Hawaiian Kids","38","52","1799","1761","14","30.1","7.8","0.61","0.34","","N/A","N/A","N/A","50-13-0","0.794"
"2052","KnightKrawler","39","51.7","1796","1759","14.1","29.6","8.1","0.53","0.19","","N/A","N/A","N/A","37-13-0","0.740"
"973","Greybots","40","51.7","1795","1758","18.2","25.9","7.6","0.49","0.34","","N/A","N/A","N/A","37-8-0","0.822"
"1918","NC GEARS","41","51.6","1794","1758","13.5","28","10.2","0.69","0.34","","N/A","N/A","N/A","47-19-0","0.712"
"494","Martians","42","51.5","1794","1757","15.7","29.8","6","0.48","0.29","","N/A","N/A","N/A","48-20-0","0.706"
"4564","Orange Chaos","43","50.5","1782","1748","11.1","30.5","9","0.45","0.32","","N/A","N/A","N/A","51-15-0","0.773"
"2771","Code Red Robotics the Stray...","44","50.3","1780","1746","15","28.4","7","0.29","0.3","","N/A","N/A","N/A","60-23-0","0.723"
"2451","PWNAGE","45","50.3","1780","1746","12.8","30.8","6.7","0.56","0.12","","N/A","N/A","N/A","39-9-0","0.813"
"3641","The Flying Toasters","46","50.3","1780","1746","9.6","36","4.7","0.62","0.33","","N/A","N/A","N/A","38-23-0","0.623"
"842","Falcon Robotics","47","50","1776","1743","14.7","26.6","8.7","0.41","0.29","","N/A","N/A","N/A","30-16-0","0.652"
"25","Raider Robotix","48","50","1776","1743","11.9","24.2","13.9","0.69","0.45","","N/A","N/A","N/A","49-18-0","0.731"
"341","Miss Daisy","49","49.6","1772","1739","13.4","25.3","10.8","0.28","0.31","","N/A","N/A","N/A","49-21-0","0.700"
"166","Chop Shop","50","49.6","1771","1739","17.4","27.5","4.7","0.47","0.27","","N/A","N/A","N/A","37-23-0","0.617"
"3824","HVA RoHAWKtics","51","49.6","1771","1739","16","28","5.5","0.5","0.12","","N/A","N/A","N/A","26-14-0","0.650"
"360","The Revolution","52","49.4","1770","1738","14.6","29.1","5.8","0.46","0.21","","N/A","N/A","N/A","36-26-0","0.581"
"3683","Team DAVE","53","49.4","1769","1738","11.4","25.9","12.2","0.72","0.57","","N/A","N/A","N/A","38-12-0","0.760"
"2590","Nemesis","54","49.4","1769","1738","12.5","30.2","6.7","0.56","0.46","","N/A","N/A","N/A","57-24-0","0.704"
"365","Miracle Workerz","55","49.4","1769","1737","12.7","28.7","7.9","0.28","0.1","","N/A","N/A","N/A","44-17-0","0.721"
"4587","Jersey Voltage 4587","56","49.3","1768","1737","11.2","33.4","4.7","0.53","0.34","","N/A","N/A","N/A","32-9-0","0.780"
"1718","The Fighting Pi","57","48.8","1762","1732","10.7","32","6.1","0.47","0.15","","N/A","N/A","N/A","49-16-0","0.754"
"4103","Roborioles","58","48.7","1761","1731","12.3","26.7","9.7","0.52","0.27","","N/A","N/A","N/A","41-18-0","0.695"
"1023","Bedford Express","59","48.7","1761","1731","10.3","28.4","10","0.63","0.08","","N/A","N/A","N/A","64-20-0","0.762"
"1806","S.W.A.T.","60","48.6","1760","1730","12.5","32.4","3.7","0.62","0.23","","N/A","N/A","N/A","38-8-0","0.826"
"3250","Kennedy Robotics","61","48.2","1755","1727","15.1","22.7","10.4","0.19","0.25","","N/A","N/A","N/A","27-14-0","0.659"
"876","Thunder Robotics","62","48.1","1754","1726","8.3","28.4","11.3","0.38","-0.05","","N/A","N/A","N/A","30-14-0","0.682"
"125","NUTRONs","63","48","1753","1725","14.2","27","6.8","0.28","0.24","","N/A","N/A","N/A","72-34-0","0.679"
"294","Beach Cities Robotics","64","47.7","1750","1722","11.9","28.8","6.9","0.59","0.15","","N/A","N/A","N/A","33-12-0","0.733"
"3990","Tech for Kids","65","47.7","1750","1722","10.6","27.2","9.9","0.59","0.06","","N/A","N/A","N/A","38-14-0","0.731"
"3314","Mechanical Mustangs","66","47.6","1749","1721","12.1","27.6","7.9","0.35","0.21","","N/A","N/A","N/A","60-34-0","0.638"
"869","PowerCord","67","47.3","1746","1719","9.2","25.3","12.9","0.18","0.27","","N/A","N/A","N/A","44-28-0","0.611"
"2067","Apple Pi","68","47.3","1745","1719","15.5","27.4","4.3","0.45","0.24","","N/A","N/A","N/A","42-29-0","0.592"
"4967","That ONE Team-OurNextEngineers","69","47.1","1743","1717","8.7","30.6","7.9","0.52","0.28","","N/A","N/A","N/A","41-22-0","0.651"
"2834","Bionic Black Hawks","70","47","1742","1716","12.9","29.3","4.8","0.66","0.33","","N/A","N/A","N/A","48-18-0","0.727"
"379","The RoboCats","71","47","1742","1716","12.4","26.3","8.3","0.38","0.13","","N/A","N/A","N/A","31-19-0","0.620"
"1124","UberBots","72","46.8","1740","1714","9.8","26.4","10.6","0.23","0.13","","N/A","N/A","N/A","42-30-0","0.583"
"1305","Ice Cubed","73","46.7","1739","1714","7.5","34.5","4.8","0.57","0.48","","N/A","N/A","N/A","39-20-0","0.661"
"5406","Celt-X","74","46.7","1739","1713","11.3","24.4","11","0.53","0.24","","N/A","N/A","N/A","30-17-0","0.638"
