"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1986","Team Titanium","1","167.3","2114","1881","43.4","64.9","59","-0.01","1.43","","N/A","N/A","N/A","55-13-0","0.809"
"254","The Cheesy Poofs","2","159.9","2057","1855","34.9","72.7","52.3","0.09","1.02","","N/A","N/A","N/A","51-8-0","0.864"
"2056","OP Robotics","3","151.8","1994","1826","33.5","70.6","47.8","0.15","1.53","","N/A","N/A","N/A","61-13-0","0.824"
"987","HIGHROLLERS","4","147.2","1958","1810","24.5","61.6","61.1","0.1","0.49","","N/A","N/A","N/A","35-16-0","0.686"
"1678","Citrus Circuits","5","146.9","1956","1809","28.8","64","54.2","-0.09","1.06","","N/A","N/A","N/A","57-12-0","0.826"
"118","Robonauts","6","146.7","1954","1808","31.5","68.6","46.6","-0.22","1.16","","N/A","N/A","N/A","55-17-0","0.764"
"195","CyberKnights","7","146.1","1950","1806","34.7","64.5","47","-0.06","1.32","","N/A","N/A","N/A","63-22-0","0.741"
"1114","Simbotics","8","144.5","1937","1800","34.1","56.1","54.3","0.31","0.74","","N/A","N/A","N/A","49-19-0","0.721"
"973","Greybots","9","142.8","1924","1794","31.2","61.1","50.4","-0.15","0.57","","N/A","N/A","N/A","40-15-0","0.727"
"33","Killer Bees","10","140.1","1903","1785","25.7","61.7","52.7","0.48","0.29","","N/A","N/A","N/A","68-24-0","0.739"
"3310","Black Hawk Robotics","11","137.9","1886","1777","24.5","60.7","52.7","0.13","0.18","","N/A","N/A","N/A","45-12-0","0.789"
"125","NUTRONs","12","137.6","1883","1776","33.7","52.7","51.1","-0.24","1.33","","N/A","N/A","N/A","67-40-0","0.626"
"2122","Team Tators","13","136.7","1877","1773","34.1","54.5","48.1","-0.05","1","","N/A","N/A","N/A","51-18-0","0.739"
