"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"2056","OP Robotics","1","81.9","2141","1887","","","","","","","N/A","N/A","N/A","8-0-0","1.000"
"118","Robonauts","2","75.6","2059","1834","","","","","","","N/A","N/A","N/A","10-1-0","0.909"
"1114","Simbotics","3","74.5","2045","1825","","","","","","","N/A","N/A","N/A","8-0-0","1.000"
"254","The Cheesy Poofs","4","73.1","2027","1813","","","","","","","N/A","N/A","N/A","4-0-0","1.000"
"1678","Citrus Circuits","5","70.7","1997","1793","","","","","","","N/A","N/A","N/A","10-0-0","1.000"
"987","HIGHROLLERS","6","68.3","1965","1773","","","","","","","N/A","N/A","N/A","5-5-0","0.500"
"195","CyberKnights","7","65.7","1932","1752","","","","","","","N/A","N/A","N/A","6-2-0","0.750"
"148","Robowranglers","8","65","1922","1745","","","","","","","N/A","N/A","N/A","5-2-0","0.714"
"1023","Bedford Express","9","63.4","1902","1732","","","","","","","N/A","N/A","N/A","10-0-0","1.000"
"2590","Nemesis","10","63.3","1901","1731","","","","","","","N/A","N/A","N/A","6-1-0","0.857"
"359","Hawaiian Kids","11","63","1897","1729","","","","","","","N/A","N/A","N/A","8-2-0","0.800"
"624","CRyptonite","12","62.9","1896","1728","","","","","","","N/A","N/A","N/A","6-1-0","0.857"
"469","Las Guerrillas","13","62.4","1890","1724","","","","","","","N/A","N/A","N/A","4-2-0","0.667"
"67","The HOT Team","14","62.2","1886","1722","","","","","","","N/A","N/A","N/A","5-2-0","0.714"
"27","Team RUSH","15","61.6","1879","1717","","","","","","","N/A","N/A","N/A","0-6-0","0.000"
"1718","The Fighting Pi","16","61.3","1876","1715","","","","","","","N/A","N/A","N/A","0-2-0","0.000"
"1986","Team Titanium","17","60","1859","1704","","","","","","","N/A","N/A","N/A","4-3-0","0.571"
"3476","Code Orange","18","59.4","1850","1698","","","","","","","N/A","N/A","N/A","3-5-0","0.375"
"2137","The Oxford RoboCats","19","59.3","1849","1697","","","","","","","N/A","N/A","N/A","5-2-0","0.714"
"33","Killer Bees","20","58.9","1845","1695","","","","","","","N/A","N/A","N/A","4-0-0","1.000"
"368","Team Kika Mana","21","58.1","1834","1688","","","","","","","N/A","N/A","N/A","4-0-0","1.000"
"1918","NC GEARS","22","57","1821","1679","","","","","","","N/A","N/A","N/A","2-0-0","1.000"
"1717","D'Penguineers","23","57","1820","1679","","","","","","","N/A","N/A","N/A","2-0-0","1.000"
"225","TechFire","24","56.9","1819","1678","","","","","","","N/A","N/A","N/A","7-2-0","0.778"
"1519","Mechanical Mayhem","25","56.3","1811","1673","","","","","","","N/A","N/A","N/A","8-0-0","1.000"
"1625","Winnovation","26","55.8","1804","1668","","","","","","","N/A","N/A","N/A","2-0-0","1.000"
"234","Cyber Blue","27","55.5","1801","1666","","","","","","","N/A","N/A","N/A","6-1-0","0.857"
"2067","Apple Pi","28","55.4","1800","1665","","","","","","","N/A","N/A","N/A","2-2-0","0.500"
"3824","HVA RoHAWKtics","29","55.3","1798","1664","","","","","","","N/A","N/A","N/A","5-2-0","0.714"
"125","NUTRONs","30","55.2","1797","1663","","","","","","","N/A","N/A","N/A","3-4-0","0.429"
"1538","The Holy Cows","31","55.1","1796","1663","","","","","","","N/A","N/A","N/A","0-4-0","0.000"
"68","Truck Town Thunder","32","54.9","1793","1661","","","","","","","N/A","N/A","N/A","2-0-0","1.000"
"2122","Team Tators","33","54.5","1788","1658","","","","","","","N/A","N/A","N/A","2-2-0","0.500"
"1756","Argos","34","54.2","1785","1655","","","","","","","N/A","N/A","N/A","3-4-0","0.429"
"330","The Beach Bots","35","54.2","1784","1655","","","","","","","N/A","N/A","N/A","6-0-0","1.000"
"1241","THEORY6","36","54.1","1783","1654","","","","","","","N/A","N/A","N/A","0-2-0","0.000"
"2826","Wave Robotics","37","54","1782","1654","","","","","","","N/A","N/A","N/A","6-3-0","0.667"
"610","Crescent Coyotes","38","53.9","1780","1653","","","","","","","N/A","N/A","N/A","2-2-0","0.500"
"314","The Megatron Oracles","39","53.7","1778","1651","","","","","","","N/A","N/A","N/A","6-0-0","1.000"
"399","Eagle Robotics","40","53.7","1777","1651","","","","","","","N/A","N/A","N/A","2-0-0","1.000"
"1619","Up-A-Creek Robotics","41","53.5","1775","1649","","","","","","","N/A","N/A","N/A","4-0-0","1.000"
"4039","MakeShift Robotics","42","53.2","1771","1647","","","","","","","N/A","N/A","N/A","2-3-0","0.400"
"2338","Gear It Forward","43","53.1","1770","1646","","","","","","","N/A","N/A","N/A","3-2-0","0.600"
"1806","S.W.A.T.","44","52.5","1763","1641","","","","","","","N/A","N/A","N/A","2-3-0","0.400"
"548","Robostangs","45","52.5","1762","1640","","","","","","","N/A","N/A","N/A","6-2-0","0.750"
"1775","Tigerbytes","46","52.4","1761","1640","","","","","","","N/A","N/A","N/A","1-2-0","0.333"
"971","Spartan Robotics","47","52.4","1761","1640","","","","","","","N/A","N/A","N/A","0-2-0","0.000"
"3683","Team DAVE","48","52.2","1759","1639","","","","","","","N/A","N/A","N/A","0-4-0","0.000"
"2054","Tech Vikes","49","52.2","1759","1639","","","","","","","N/A","N/A","N/A","4-1-0","0.800"
"1671","Buchanan Bird Brains","50","52.2","1759","1639","","","","","","","N/A","N/A","N/A","4-0-0","1.000"
"2451","PWNAGE","51","51.8","1754","1635","","","","","","","N/A","N/A","N/A","2-0-0","1.000"
"1711","RAPTORS","52","51.5","1749","1633","","","","","","","N/A","N/A","N/A","6-1-0","0.857"
"1983","Skunk Works Robotics","53","51.5","1749","1632","","","","","","","N/A","N/A","N/A","8-0-0","1.000"
"2959","Robotarians","54","51.5","1749","1632","","","","","","","N/A","N/A","N/A","1-2-0","0.333"
"4334","Alberta Tech Alliance (ATA)","55","51.2","1745","1630","","","","","","","N/A","N/A","N/A","2-0-0","1.000"
"955","Ctrl C","56","51.1","1744","1629","","","","","","","N/A","N/A","N/A","4-0-0","1.000"
"1218","SCH Robotics","57","51","1743","1628","","","","","","","N/A","N/A","N/A","5-2-0","0.714"
"3132","Thunder Down Under","58","50.9","1742","1628","","","","","","","N/A","N/A","N/A","3-5-0","0.375"
"2337","EngiNERDs","59","50.8","1740","1627","","","","","","","N/A","N/A","N/A","2-2-0","0.500"
"1640","Sab-BOT-age","60","50.6","1738","1625","","","","","","","N/A","N/A","N/A","2-6-0","0.250"
"2512","Duluth East Daredevils","61","50.6","1738","1625","","","","","","","N/A","N/A","N/A","2-7-0","0.222"
"4488","Shockwave","62","50.6","1737","1625","","","","","","","N/A","N/A","N/A","5-4-0","0.556"
"2468","Team Appreciate","63","50.5","1736","1624","","","","","","","N/A","N/A","N/A","4-1-0","0.800"
"1318","Issaquah Robotics Society","64","50.4","1735","1623","","","","","","","N/A","N/A","N/A","6-0-0","1.000"
"245","Adambots","65","50.1","1732","1621","","","","","","","N/A","N/A","N/A","2-0-0","1.000"
"525","Swartdogs","66","50.1","1731","1620","","","","","","","N/A","N/A","N/A","4-0-0","1.000"
"836","The RoboBees","67","49.8","1728","1619","","","","","","","N/A","N/A","N/A","0-2-0","0.000"
"71","Team Hammond","68","49.7","1726","1618","","","","","","","N/A","N/A","N/A","0-2-0","0.000"
"364","Team Fusion 364","69","49.7","1726","1617","","","","","","","N/A","N/A","N/A","0-2-0","0.000"
"193","MORT Beta","70","49.5","1723","1616","","","","","","","N/A","N/A","N/A","0-2-0","0.000"
"107","Team R.O.B.O.T.I.C.S.","71","49.4","1722","1615","","","","","","","N/A","N/A","N/A","0-2-0","0.000"
"3130","The ERRORs","72","49.3","1721","1614","","","","","","","N/A","N/A","N/A","4-0-0","1.000"
"1325","Inverse Paradox","73","49.3","1721","1614","","","","","","","N/A","N/A","N/A","2-5-0","0.286"
"1310","Runnymede Robotics","74","49.2","1720","1613","","","","","","","N/A","N/A","N/A","2-3-0","0.400"
"494","Martians","75","49","1717","1612","","","","","","","N/A","N/A","N/A","0-2-0","0.000"
"3098","Waterford Robotics","76","49","1717","1611","","","","","","","N/A","N/A","N/A","2-2-0","0.500"
"2363","Triple Helix Robotics","77","48.9","1716","1611","","","","","","","N/A","N/A","N/A","4-1-0","0.800"
"573","Mech Warriors","78","48.9","1715","1610","","","","","","","N/A","N/A","N/A","0-2-0","0.000"
"230","Gaelhawks","79","48.7","1713","1609","","","","","","","N/A","N/A","N/A","6-1-0","0.857"
"1323","MadTown Robotics","80","48.7","1713","1609","","","","","","","N/A","N/A","N/A","3-2-0","0.600"
"303","The T.E.S.T. Team","81","48.5","1711","1607","","","","","","","N/A","N/A","N/A","2-2-0","0.500"
"217","ThunderChickens","82","48.5","1711","1607","","","","","","","N/A","N/A","N/A","0-4-0","0.000"
"2062","CORE 2062","83","48.4","1709","1606","","","","","","","N/A","N/A","N/A","4-1-0","0.800"
