"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"522","ROBO WIZARDS","1","55.5","1910","1813","","","","","","","N/A","N/A","N/A","27-9-0","0.750"
"525","Swartdogs","2","51.9","1862","1784","","","","","","","N/A","N/A","N/A","18-2-0","0.900"
"60","Kingman FIRST Robotics Team...","3","51","1849","1777","","","","","","","N/A","N/A","N/A","27-7-0","0.794"
"233","The Pink Team","4","50","1835","1769","","","","","","","N/A","N/A","N/A","31-9-0","0.775"
"27","Team RUSH","5","49.4","1827","1764","","","","","","","N/A","N/A","N/A","27-6-0","0.818"
"58","The Riot Crew","6","49.3","1827","1764","","","","","","","N/A","N/A","N/A","15-1-0","0.938"
"469","Las Guerrillas","7","48.3","1813","1756","","","","","","","N/A","N/A","N/A","20-9-0","0.690"
"48","Team E.L.I.T.E.","8","47.9","1807","1752","","","","","","","N/A","N/A","N/A","29-13-0","0.690"
"368","Team Kika Mana","9","47","1796","1745","","","","","","","N/A","N/A","N/A","24-5-0","0.828"
"25","Raider Robotix","10","46.1","1783","1738","","","","","","","N/A","N/A","N/A","36-8-0","0.818"
"16","Bomb Squad","11","45.3","1773","1732","","","","","","","N/A","N/A","N/A","28-6-0","0.824"
"111","WildStang","12","45.2","1770","1731","","","","","","","N/A","N/A","N/A","26-12-0","0.684"
"358","Robotic Eagles","13","45","1769","1729","","","","","","","N/A","N/A","N/A","24-10-0","0.706"
"343","Metal-In-Motion","14","44.6","1763","1726","","","","","","","N/A","N/A","N/A","31-6-0","0.838"
"1218","SCH Robotics","15","44.6","1763","1726","","","","","","","N/A","N/A","N/A","22-10-0","0.688"
"71","Team Hammond","16","44.3","1759","1724","","","","","","","N/A","N/A","N/A","20-10-0","0.667"
"494","Martians","17","44.2","1758","1723","","","","","","","N/A","N/A","N/A","31-12-0","0.721"
"61","BVT Robotics","18","44.2","1757","1723","","","","","","","N/A","N/A","N/A","8-3-0","0.727"
"782","Kilowatts","19","43.8","1752","1720","","","","","","","N/A","N/A","N/A","19-6-0","0.760"
"375","Robotic Plague","20","43.3","1745","1716","","","","","","","N/A","N/A","N/A","11-5-0","0.688"
"329","Mohawks","21","42.8","1739","1712","","","","","","","N/A","N/A","N/A","10-1-0","0.909"
"306","CRT","22","41.9","1727","1705","","","","","","","N/A","N/A","N/A","25-11-0","0.694"
"384","SPARKY 384","23","41.7","1724","1703","","","","","","","N/A","N/A","N/A","24-10-0","0.706"
"148","Robowranglers","24","41.2","1717","1699","","","","","","","N/A","N/A","N/A","16-4-0","0.800"
"302","The Dragons","25","41","1714","1697","","","","","","","N/A","N/A","N/A","22-11-0","0.667"
"69","HYPER","26","40.9","1712","1696","","","","","","","N/A","N/A","N/A","14-9-0","0.609"
"968","RAWC (Robotics Alliance Of ...","27","40.8","1711","1696","","","","","","","N/A","N/A","N/A","23-6-0","0.793"
"710","Panther Bot","28","40.7","1711","1695","","","","","","","N/A","N/A","N/A","8-4-0","0.667"
"176","Aces High","29","40.7","1710","1695","","","","","","","N/A","N/A","N/A","26-13-0","0.667"
"378","The Circuit Stompers","30","40.6","1709","1694","","","","","","","N/A","N/A","N/A","25-11-0","0.694"
"147","Deep Thunder","31","40.4","1706","1693","","","","","","","N/A","N/A","N/A","11-9-0","0.550"
"405","The Chameleons","32","40.4","1706","1693","","","","","","","N/A","N/A","N/A","10-8-0","0.556"
"254","The Cheesy Poofs","33","40.3","1705","1692","","","","","","","N/A","N/A","N/A","29-17-0","0.630"
"364","Team Fusion 364","34","39.6","1696","1687","","","","","","","N/A","N/A","N/A","11-3-0","0.786"
"933","Trigos","35","39.6","1695","1686","","","","","","","N/A","N/A","N/A","14-5-0","0.737"
"759","Systemetric","36","39.5","1693","1685","","","","","","","N/A","N/A","N/A","8-5-0","0.615"
"851","Froggers","37","39.4","1693","1685","","","","","","","N/A","N/A","N/A","5-2-0","0.714"
"118","Robonauts","38","38.9","1686","1681","","","","","","","N/A","N/A","N/A","16-8-0","0.667"
"166","Chop Shop","39","38.9","1686","1681","","","","","","","N/A","N/A","N/A","12-11-0","0.522"
"173","RAGE Robotics ⚙️","40","38.9","1685","1681","","","","","","","N/A","N/A","N/A","22-15-0","0.595"
"902","Delphi Heritage RoboHawks","41","38.8","1684","1680","","","","","","","N/A","N/A","N/A","20-4-0","0.833"
"547","Falcon Engineering And Robo...","42","38.7","1683","1680","","","","","","","N/A","N/A","N/A","12-6-0","0.667"
"716","Who'sCTEKS","43","38.7","1683","1679","","","","","","","N/A","N/A","N/A","21-13-0","0.618"
"356","Enigma","44","38.7","1683","1679","","","","","","","N/A","N/A","N/A","14-9-0","0.609"
"87","Diablo","45","38.6","1681","1678","","","","","","","N/A","N/A","N/A","33-15-0","0.688"
"399","Eagle Robotics","46","38.5","1679","1677","","","","","","","N/A","N/A","N/A","9-6-0","0.600"
"121","Rhode Warriors","47","38.4","1678","1677","","","","","","","N/A","N/A","N/A","16-9-0","0.640"
"171","Cheese Curd Herd","48","38.2","1676","1675","","","","","","","N/A","N/A","N/A","16-5-0","0.762"
"180","S.P.A.M.","49","38.2","1675","1675","","","","","","","N/A","N/A","N/A","11-9-0","0.550"
"852","ARC Robotics","50","38","1673","1674","","","","","","","N/A","N/A","N/A","7-3-0","0.700"
"623","Oakton Cougar Robotics","51","38","1673","1674","","","","","","","N/A","N/A","N/A","7-2-0","0.778"
"207","METALCRAFTERS","52","37.7","1669","1672","","","","","","","N/A","N/A","N/A","17-12-0","0.586"
"596","SciClones","53","37.7","1669","1672","","","","","","","N/A","N/A","N/A","12-9-0","0.571"
"192","GRT","54","37.7","1668","1671","","","","","","","N/A","N/A","N/A","23-14-0","0.622"
"138","Entropy","55","37.6","1668","1671","","","","","","","N/A","N/A","N/A","5-5-0","0.500"
"651","Yo Bot","56","37.5","1666","1670","","","","","","","N/A","N/A","N/A","15-10-0","0.600"
"773","Kingsville CavalGears","57","37.5","1665","1669","","","","","","","N/A","N/A","N/A","6-4-0","0.600"
"96","JESTER","58","37.4","1664","1669","","","","","","","N/A","N/A","N/A","13-8-0","0.619"
"1088","Scarborough Warriors At The...","59","37.3","1663","1668","","","","","","","N/A","N/A","N/A","13-7-0","0.650"
"1144","COQUITRON","60","36.8","1657","1664","","","","","","","N/A","N/A","N/A","6-4-0","0.600"
"846","The Funky Monkeys","61","36.7","1655","1663","","","","","","","N/A","N/A","N/A","8-3-0","0.727"
"380","G-FORCE","62","36.5","1652","1662","","","","","","","N/A","N/A","N/A","10-6-0","0.625"
"639","Code Red Robotics","63","36.3","1649","1660","","","","","","","N/A","N/A","N/A","12-7-0","0.632"
"126","Gael Force","64","36.3","1649","1660","","","","","","","N/A","N/A","N/A","21-13-0","0.618"
"280","TnT","65","36.2","1648","1659","","","","","","","N/A","N/A","N/A","21-5-0","0.808"
"271","Mechanical Marauders","66","36","1645","1658","","","","","","","N/A","N/A","N/A","17-11-0","0.607"
"481","The Hitchhikers","67","35.7","1642","1656","","","","","","","N/A","N/A","N/A","22-18-0","0.550"
"359","Hawaiian Kids","68","35.6","1641","1655","","","","","","","N/A","N/A","N/A","17-5-0","0.773"
"446","Robodogs","69","35.4","1637","1653","","","","","","","N/A","N/A","N/A","10-5-0","0.667"
"74","Team CHAOS","70","35.2","1635","1652","","","","","","","N/A","N/A","N/A","17-13-0","0.567"
"47","Chief Delphi","71","35","1632","1650","","","","","","","N/A","N/A","N/A","24-18-0","0.571"
"223","Xtreme Heat","72","35","1632","1650","","","","","","","N/A","N/A","N/A","15-12-0","0.556"
"570","Team Phoenix","73","34.9","1631","1649","","","","","","","N/A","N/A","N/A","6-5-0","0.545"
"292","PantherTech","74","34.7","1629","1648","","","","","","","N/A","N/A","N/A","30-12-0","0.714"
"998","The Overcookers","75","34.7","1629","1647","","","","","","","N/A","N/A","N/A","4-6-0","0.400"
"1104","TechnoEagles","76","34.7","1629","1647","","","","","","","N/A","N/A","N/A","6-2-0","0.750"
"234","Cyber Blue","77","34.6","1628","1647","","","","","","","N/A","N/A","N/A","18-10-0","0.643"
"569","Rambots 569","78","34.4","1626","1645","","","","","","","N/A","N/A","N/A","13-2-0","0.867"
"68","Truck Town Thunder","79","34.4","1625","1645","","","","","","","N/A","N/A","N/A","29-15-0","0.659"
"514","Entropy","80","34.3","1624","1644","","","","","","","N/A","N/A","N/A","14-2-0","0.875"
"97","Bionic Beef","81","34.3","1624","1644","","","","","","","N/A","N/A","N/A","10-8-0","0.556"
"311","Red Jammers","82","34.2","1623","1643","","","","","","","N/A","N/A","N/A","13-7-0","0.650"
"650","Hella's Angels","83","34.1","1622","1643","","","","","","","N/A","N/A","N/A","16-5-0","0.762"
"65","The Huskie Brigade","84","34.1","1622","1643","","","","","","","N/A","N/A","N/A","19-13-0","0.594"
"131","CHAOS","85","34","1621","1642","","","","","","","N/A","N/A","N/A","13-7-0","0.650"
"115","MVRT","86","34","1620","1642","","","","","","","N/A","N/A","N/A","27-11-0","0.711"
"34","Rockets","87","33.9","1620","1641","","","","","","","N/A","N/A","N/A","28-10-0","0.737"
"330","The Beach Bots","88","33.9","1619","1641","","","","","","","N/A","N/A","N/A","18-12-0","0.600"
"859","BOING","89","33.9","1619","1641","","","","","","","N/A","N/A","N/A","4-3-0","0.571"
"222","Tigertrons","90","33.8","1619","1641","","","","","","","N/A","N/A","N/A","26-20-0","0.565"
"610","Crescent Coyotes","91","33.6","1616","1639","","","","","","","N/A","N/A","N/A","12-4-0","0.750"
"762","Patriots","92","33.5","1615","1638","","","","","","","N/A","N/A","N/A","10-4-0","0.714"
"658","B.E.A.S.T.  - Bringing Exci...","93","33.5","1614","1638","","","","","","","N/A","N/A","N/A","18-10-0","0.643"
"245","Adambots","94","33.5","1614","1638","","","","","","","N/A","N/A","N/A","19-10-0","0.655"
"386","Team Voltage","95","33.4","1614","1637","","","","","","","N/A","N/A","N/A","10-8-0","0.556"
"175","Buzz Robotics","96","33.3","1612","1636","","","","","","","N/A","N/A","N/A","23-15-0","0.605"
"462","The Rambunctious Rams","97","33.3","1612","1636","","","","","","","N/A","N/A","N/A","13-2-0","0.867"
"33","Killer Bees","98","33.3","1612","1636","","","","","","","N/A","N/A","N/A","16-11-0","0.593"
"448","Crandroids","99","32.9","1608","1633","","","","","","","N/A","N/A","N/A","14-5-0","0.737"
"665","Motor Monkeys","100","32.9","1608","1633","","","","","","","N/A","N/A","N/A","14-6-0","0.700"
