"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"173","RAGE Robotics ⚙️","1","20.2","1902","1733","","","","","","","N/A","N/A","N/A","38-14-0","0.731"
"69","HYPER","2","19.8","1879","1724","","","","","","","N/A","N/A","N/A","11-4-0","0.733"
"358","Robotic Eagles","3","19.6","1871","1721","","","","","","","N/A","N/A","N/A","26-6-0","0.813"
"469","Las Guerrillas","4","18.9","1828","1705","","","","","","","N/A","N/A","N/A","22-5-0","0.815"
"60","Kingman FIRST Robotics Team...","5","18.8","1823","1704","","","","","","","N/A","N/A","N/A","23-9-0","0.719"
"635","Team 635","6","18.2","1789","1691","","","","","","","N/A","N/A","N/A","9-3-0","0.750"
"180","S.P.A.M.","7","18","1772","1685","","","","","","","N/A","N/A","N/A","8-1-0","0.889"
"68","Truck Town Thunder","8","17.9","1770","1684","","","","","","","N/A","N/A","N/A","34-19-0","0.642"
"998","The Overcookers","9","17.9","1769","1684","","","","","","","N/A","N/A","N/A","7-3-0","0.700"
"84","Chuck 84","10","17.9","1768","1683","","","","","","","N/A","N/A","N/A","22-7-0","0.759"
"880","Border Patrol","11","17.8","1765","1682","","","","","","","N/A","N/A","N/A","3-5-0","0.375"
"71","Team Hammond","12","17.8","1763","1682","","","","","","","N/A","N/A","N/A","30-14-0","0.682"
"859","BOING","13","17.7","1754","1678","","","","","","","N/A","N/A","N/A","12-2-0","0.857"
"147","Deep Thunder","14","17.6","1752","1678","","","","","","","N/A","N/A","N/A","4-4-0","0.500"
"108","SigmaC@T Robotics Team","15","17.6","1750","1677","","","","","","","N/A","N/A","N/A","12-6-0","0.667"
"66","Grizzly Robotics","16","17.3","1733","1670","","","","","","","N/A","N/A","N/A","18-11-0","0.621"
"121","Rhode Warriors","17","17.3","1732","1670","","","","","","","N/A","N/A","N/A","19-9-0","0.679"
"391","Titanium Rampage","18","17.2","1729","1669","","","","","","","N/A","N/A","N/A","11-7-0","0.611"
"267","Demolition Squad","19","17.2","1726","1668","","","","","","","N/A","N/A","N/A","10-4-0","0.714"
"367","Team 367","20","17.1","1720","1666","","","","","","","N/A","N/A","N/A","6-4-0","0.600"
"58","The Riot Crew","21","16.9","1710","1662","","","","","","","N/A","N/A","N/A","7-1-0","0.875"
"311","Red Jammers","22","16.8","1706","1660","","","","","","","N/A","N/A","N/A","16-11-0","0.593"
"780","TigerBots","23","16.8","1706","1660","","","","","","","N/A","N/A","N/A","6-3-0","0.667"
"348","Norwell Robotics","24","16.8","1703","1659","","","","","","","N/A","N/A","N/A","16-8-0","0.667"
"368","Team Kika Mana","25","16.7","1700","1658","","","","","","","N/A","N/A","N/A","19-15-0","0.559"
"254","The Cheesy Poofs","26","16.7","1699","1658","","","","","","","N/A","N/A","N/A","18-6-0","0.750"
"118","Robonauts","27","16.7","1699","1658","","","","","","","N/A","N/A","N/A","12-3-0","0.800"
"57","Leopards","28","16.7","1697","1657","","","","","","","N/A","N/A","N/A","11-9-0","0.550"
"317","Mechanical Geek Squad","29","16.6","1693","1656","","","","","","","N/A","N/A","N/A","19-6-0","0.760"
"943","Great Balls of Fire","30","16.6","1692","1655","","","","","","","N/A","N/A","N/A","6-4-0","0.600"
"781","Kinetic Knights","31","16.6","1691","1655","","","","","","","N/A","N/A","N/A","19-4-0","0.826"
"839","Rosie Robotics","32","16.6","1690","1654","","","","","","","N/A","N/A","N/A","10-7-0","0.588"
"157","AZTECHS","33","16.6","1689","1654","","","","","","","N/A","N/A","N/A","31-15-0","0.674"
"271","Mechanical Marauders","34","16.5","1686","1653","","","","","","","N/A","N/A","N/A","26-14-0","0.650"
"281","The GreenVillains","35","16.5","1685","1653","","","","","","","N/A","N/A","N/A","10-5-0","0.667"
"280","TnT","36","16.5","1683","1652","","","","","","","N/A","N/A","N/A","9-5-0","0.643"
"590","Chahta Warriors","37","16.4","1680","1651","","","","","","","N/A","N/A","N/A","7-2-0","0.778"
"395","2 Train Robotics","38","16.4","1678","1650","","","","","","","N/A","N/A","N/A","14-11-0","0.560"
"560","Camdenton 4-H LASER HWE #3","39","16.3","1676","1649","","","","","","","N/A","N/A","N/A","6-4-0","0.600"
"22","Double Deuce","40","16.3","1675","1649","","","","","","","N/A","N/A","N/A","16-7-0","0.696"
"16","Bomb Squad","41","16.2","1671","1648","","","","","","","N/A","N/A","N/A","24-4-0","0.857"
"449","The Blair Robot Project","42","16.2","1670","1647","","","","","","","N/A","N/A","N/A","5-2-0","0.714"
"987","HIGHROLLERS","43","16.2","1670","1647","","","","","","","N/A","N/A","N/A","5-2-0","0.714"
"195","CyberKnights","44","16.2","1669","1647","","","","","","","N/A","N/A","N/A","22-11-0","0.667"
"312","HeatWave","45","16.2","1669","1646","","","","","","","N/A","N/A","N/A","18-10-0","0.643"
"400","The Blue Dragons","46","16.2","1667","1646","","","","","","","N/A","N/A","N/A","10-5-0","0.667"
"963","South Bulldogs Robotics","47","16.2","1666","1646","","","","","","","N/A","N/A","N/A","4-5-0","0.444"
"376","Team 376","48","16.1","1665","1645","","","","","","","N/A","N/A","N/A","14-6-0","0.700"
"950","Team 950","49","16.1","1664","1645","","","","","","","N/A","N/A","N/A","10-4-0","0.714"
"63","McDowell Robotics Team 63","50","16.1","1663","1644","","","","","","","N/A","N/A","N/A","15-5-0","0.750"
"240","TEMPEST","51","16.1","1663","1644","","","","","","","N/A","N/A","N/A","10-6-0","0.625"
"398","The Thundering Herd","52","16.1","1661","1644","","","","","","","N/A","N/A","N/A","10-5-0","0.667"
"365","Miracle Workerz","53","16","1658","1642","","","","","","","N/A","N/A","N/A","17-13-0","0.567"
"79","Team 79 Krunch","54","15.9","1652","1640","","","","","","","N/A","N/A","N/A","15-12-0","0.556"
"353","POBots","55","15.9","1651","1639","","","","","","","N/A","N/A","N/A","9-4-0","0.692"
"298","Team 298","56","15.9","1650","1639","","","","","","","N/A","N/A","N/A","8-4-0","0.667"
"45","TechnoKats Robotics Team","57","15.8","1650","1639","","","","","","","N/A","N/A","N/A","15-9-0","0.625"
