"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1678","Citrus Circuits","1","58.3","1952","2028","18.4","32.6","7.2","0.89","0.68","","N/A","N/A","N/A","56-12-0","0.824"
"1323","MadTown Robotics","2","56.9","1935","2011","19.8","29.4","7.7","0.66","0.82","","N/A","N/A","N/A","45-7-0","0.865"
"3005","RoboChargers","3","54.9","1912","1987","16","34.7","4.2","0.71","0.36","","N/A","N/A","N/A","59-10-0","0.855"
"6328","Mechanical Advantage","4","54.3","1905","1979","16.7","31.2","6.4","0.71","0.61","","N/A","N/A","N/A","57-12-0","0.826"
"2056","OP Robotics","5","53.7","1899","1973","16.7","33.3","3.8","0.77","0.59","","N/A","N/A","N/A","67-3-0","0.957"
"1690","Orbit","6","53.7","1898","1972","17","31.3","5.3","0.73","0.49","","N/A","N/A","N/A","66-5-0","0.930"
"1796","RoboTigers","7","53","1890","1963","18.6","28.2","6.2","0.72","0.46","","N/A","N/A","N/A","49-9-0","0.845"
"1771","North Gwinnett Robotics","8","52.7","1888","1960","19.9","27.3","5.6","0.67","0.51","","N/A","N/A","N/A","58-7-0","0.892"
"1756","Argos","9","52.1","1880","1952","13.2","32.7","6.2","0.5","0.52","","N/A","N/A","N/A","35-11-0","0.761"
"254","The Cheesy Poofs","10","51.4","1873","1945","15.6","29.5","6.3","0.64","0.62","","N/A","N/A","N/A","45-5-0","0.900"
"1706","Ratchet Rockers","11","51.3","1871","1943","17","28.1","6.2","0.71","0.39","","N/A","N/A","N/A","44-4-0","0.917"
"604","Quixilver","12","51","1868","1939","16.6","28.6","5.8","0.76","0.54","","N/A","N/A","N/A","58-10-0","0.853"
"2910","Jack in the Bot","13","50.2","1859","1930","13","34.6","2.6","0.49","0.02","","N/A","N/A","N/A","50-16-0","0.758"
"4414","HighTide","14","49.5","1851","1921","18.1","25.6","5.9","0.66","0.44","","N/A","N/A","N/A","47-10-0","0.825"
"5940","BREAD","15","49.2","1847","1917","15.7","26.8","6.7","0.6","0.47","","N/A","N/A","N/A","47-13-0","0.783"
"3478","PrepaTec - LamBot","16","47.9","1832","1901","14.3","27.5","6.1","0.56","0.56","","N/A","N/A","N/A","49-11-0","0.817"
"3467","Windham Windup","17","47.6","1829","1898","11.8","32.5","3.3","0.74","0.2","","N/A","N/A","N/A","59-22-0","0.728"
"9483","İstanbul Wildcats","18","47.6","1829","1897","15.8","30.2","1.5","0.67","0.21","","N/A","N/A","N/A","37-9-0","0.804"
"4613","Barker Redbacks","19","47.6","1828","1897","13","32.5","2.1","0.79","0.36","","N/A","N/A","N/A","44-4-0","0.917"
"359","Hawaiian Kids","20","47.5","1828","1896","15.2","25.8","6.4","0.7","0.48","","N/A","N/A","N/A","68-10-0","0.872"
