"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1114","Simbotics","1","94.5","2014","2122","","","","","","","N/A","N/A","N/A","60-6-0","0.909"
"2056","OP Robotics","2","90.9","1991","2093","","","","","","","N/A","N/A","N/A","61-6-0","0.910"
"987","HIGHROLLERS","3","90.8","1990","2092","","","","","","","N/A","N/A","N/A","40-9-0","0.816"
"469","Las Guerrillas","4","85.1","1952","2046","","","","","","","N/A","N/A","N/A","84-11-0","0.884"
"1986","Team Titanium","5","81.6","1929","2018","","","","","","","N/A","N/A","N/A","57-6-0","0.905"
"118","Robonauts","6","78.2","1906","1991","","","","","","","N/A","N/A","N/A","53-10-0","0.841"
"254","The Cheesy Poofs","7","76.9","1897","1980","","","","","","","N/A","N/A","N/A","33-11-0","0.750"
"2169","KING TeC","8","75.5","1888","1969","","","","","","","N/A","N/A","N/A","40-9-0","0.816"
"67","The HOT Team","9","75","1885","1965","","","","","","","N/A","N/A","N/A","51-17-0","0.750"
"33","Killer Bees","10","74","1878","1957","","","","","","","N/A","N/A","N/A","74-17-0","0.813"
"1538","The Holy Cows","11","74","1878","1957","","","","","","","N/A","N/A","N/A","40-6-0","0.870"
"868","TechHOUNDS","12","71","1858","1933","","","","","","","N/A","N/A","N/A","39-7-0","0.848"
"1717","D'Penguineers","13","70.7","1856","1931","","","","","","","N/A","N/A","N/A","35-6-0","0.854"
"2590","Nemesis","14","67.5","1835","1905","","","","","","","N/A","N/A","N/A","52-14-0","0.788"
"359","Hawaiian Kids","15","66.3","1827","1895","","","","","","","N/A","N/A","N/A","55-8-0","0.873"
"1310","Runnymede Robotics","16","66","1825","1893","","","","","","","N/A","N/A","N/A","31-16-0","0.660"
"245","Adambots","17","65.9","1824","1892","","","","","","","N/A","N/A","N/A","55-20-0","0.733"
"3476","Code Orange","18","65.2","1820","1886","","","","","","","N/A","N/A","N/A","34-15-0","0.694"
"20","The Rocketeers","19","64.6","1815","1882","","","","","","","N/A","N/A","N/A","36-8-0","0.818"
"948","NRG (Newport Robotics Group)","20","64.3","1814","1879","","","","","","","N/A","N/A","N/A","33-7-0","0.825"
"3539","Byting Bulldogs","21","63.5","1808","1873","","","","","","","N/A","N/A","N/A","45-21-0","0.682"
"610","Crescent Coyotes","22","63.2","1806","1871","","","","","","","N/A","N/A","N/A","46-11-0","0.807"
"1718","The Fighting Pi","23","62.8","1804","1867","","","","","","","N/A","N/A","N/A","49-14-0","0.778"
"1241","THEORY6","24","62.8","1803","1867","","","","","","","N/A","N/A","N/A","49-21-0","0.700"
"1477","Texas Torque","25","62","1799","1861","","","","","","","N/A","N/A","N/A","64-16-0","0.800"
"1334","Red Devils","26","61.1","1793","1854","","","","","","","N/A","N/A","N/A","43-19-0","0.694"
"2729","Storm Robotics Team","27","60.9","1791","1852","","","","","","","N/A","N/A","N/A","47-12-0","0.797"
"1806","S.W.A.T.","28","60.8","1790","1851","","","","","","","N/A","N/A","N/A","33-9-0","0.786"
"126","Gael Force","29","60.7","1790","1850","","","","","","","N/A","N/A","N/A","31-12-0","0.721"
"2054","Tech Vikes","30","60.7","1789","1850","","","","","","","N/A","N/A","N/A","54-14-0","0.794"
"111","WildStang","31","60.5","1788","1849","","","","","","","N/A","N/A","N/A","29-13-0","0.690"
"68","Truck Town Thunder","32","60.4","1787","1848","","","","","","","N/A","N/A","N/A","39-36-0","0.520"
"11","MORT","33","60.2","1786","1846","","","","","","","N/A","N/A","N/A","60-19-0","0.759"
"125","NUTRONs","34","59.6","1782","1841","","","","","","","N/A","N/A","N/A","43-19-0","0.694"
"2485","Overclocked","35","59.5","1781","1841","","","","","","","N/A","N/A","N/A","33-11-0","0.750"
"862","Lightning Robotics","36","58.9","1778","1836","","","","","","","N/A","N/A","N/A","53-16-0","0.768"
"624","CRyptonite","37","58.9","1778","1836","","","","","","","N/A","N/A","N/A","29-10-0","0.744"
"303","The T.E.S.T. Team","38","58.3","1774","1831","","","","","","","N/A","N/A","N/A","52-26-0","0.667"
"2959","Robotarians","39","58.3","1773","1831","","","","","","","N/A","N/A","N/A","61-23-0","0.726"
"1983","Skunk Works Robotics","40","57.8","1771","1828","","","","","","","N/A","N/A","N/A","50-13-0","0.794"
"3467","Windham Windup","41","57.3","1767","1823","","","","","","","N/A","N/A","N/A","28-14-0","0.667"
"148","Robowranglers","42","57.3","1767","1823","","","","","","","N/A","N/A","N/A","50-16-0","0.758"
"195","CyberKnights","43","57.2","1766","1822","","","","","","","N/A","N/A","N/A","23-14-0","0.622"
"225","TechFire","44","56.9","1764","1820","","","","","","","N/A","N/A","N/A","41-21-0","0.661"
"180","S.P.A.M.","45","56.5","1762","1817","","","","","","","N/A","N/A","N/A","25-13-0","0.658"
