"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1114","Simbotics","1","68.7","2132","2060","","","","","","","N/A","N/A","N/A","59-7-0","0.894"
"2056","OP Robotics","2","49.4","1923","1864","","","","","","","N/A","N/A","N/A","38-4-0","0.905"
"67","The HOT Team","3","47.5","1902","1844","","","","","","","N/A","N/A","N/A","37-12-0","0.755"
"987","HIGHROLLERS","4","47.2","1899","1841","","","","","","","N/A","N/A","N/A","43-5-0","0.896"
"968","RAWC (Robotics Alliance Of ...","5","45.6","1881","1824","","","","","","","N/A","N/A","N/A","41-9-0","0.820"
"39","The 39th Aero Squadron","6","44.6","1871","1815","","","","","","","N/A","N/A","N/A","36-7-0","0.837"
"330","The Beach Bots","7","43.9","1863","1807","","","","","","","N/A","N/A","N/A","34-9-0","0.791"
"103","Cybersonics","8","43.6","1860","1805","","","","","","","N/A","N/A","N/A","44-14-0","0.759"
"25","Raider Robotix","9","43.5","1859","1804","","","","","","","N/A","N/A","N/A","27-12-0","0.692"
"525","Swartdogs","10","43.5","1859","1804","","","","","","","N/A","N/A","N/A","34-6-0","0.850"
"233","The Pink Team","11","43.3","1857","1802","","","","","","","N/A","N/A","N/A","40-7-0","0.851"
"1126","SPARX","12","43","1854","1799","","","","","","","N/A","N/A","N/A","34-11-0","0.756"
"1024","Kil-A-Bytes","13","42.2","1844","1790","","","","","","","N/A","N/A","N/A","48-17-0","0.738"
"71","Team Hammond","14","40.9","1830","1777","","","","","","","N/A","N/A","N/A","24-12-0","0.667"
"1625","Winnovation","15","38.4","1803","1751","","","","","","","N/A","N/A","N/A","42-11-0","0.792"
"175","Buzz Robotics","16","37.9","1798","1746","","","","","","","N/A","N/A","N/A","25-13-0","0.658"
"254","The Cheesy Poofs","17","37.9","1797","1746","","","","","","","N/A","N/A","N/A","34-15-0","0.694"
"1124","UberBots","18","37.7","1796","1744","","","","","","","N/A","N/A","N/A","26-5-0","0.839"
"1251","TechTigers Robotics","19","37.4","1792","1741","","","","","","","N/A","N/A","N/A","31-8-0","0.795"
"20","The Rocketeers","20","37.1","1789","1738","","","","","","","N/A","N/A","N/A","36-8-0","0.818"
"100","The Wildhats","21","36.7","1785","1734","","","","","","","N/A","N/A","N/A","33-9-0","0.786"
"1731","Fresta Valley Robotics Club","22","36.7","1785","1734","","","","","","","N/A","N/A","N/A","21-11-0","0.656"
"111","WildStang","23","36.7","1784","1734","","","","","","","N/A","N/A","N/A","33-9-0","0.786"
"27","Team RUSH","24","36.6","1784","1733","","","","","","","N/A","N/A","N/A","29-14-0","0.674"
"217","ThunderChickens","25","36.5","1783","1732","","","","","","","N/A","N/A","N/A","51-12-0","0.810"
"365","Miracle Workerz","26","35.9","1776","1726","","","","","","","N/A","N/A","N/A","32-13-0","0.711"
"141","WOBOT","27","35.7","1774","1724","","","","","","","N/A","N/A","N/A","30-9-0","0.769"
"494","Martians","28","35.6","1773","1723","","","","","","","N/A","N/A","N/A","32-17-0","0.653"
