"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"254","The Cheesy Poofs","1","262.7","1993","1909","28.4","184","47.4","0.68","0.98","","N/A","N/A","N/A","53-0-0","1.000"
"2056","OP Robotics","2","260.3","1984","1903","27.8","187.5","43.7","0.51","0.94","","N/A","N/A","N/A","70-8-0","0.897"
"1678","Citrus Circuits","3","257.2","1972","1896","29.2","177.8","48.3","0.7","1.07","","N/A","N/A","N/A","61-7-0","0.897"
"2767","Stryke Force","4","240.6","1908","1857","23.5","173.2","43.1","0.54","1.02","","N/A","N/A","N/A","71-10-0","0.877"
"195","CyberKnights","5","238.5","1900","1853","25","180.7","32.5","0.69","0.65","","N/A","N/A","N/A","68-8-0","0.895"
"2590","Nemesis","6","237.8","1897","1851","23.7","170.4","40.5","0.59","0.86","","N/A","N/A","N/A","80-12-0","0.870"
"610","Crescent Coyotes","7","235.6","1889","1846","24.1","173.3","33.3","0.59","0.4","","N/A","N/A","N/A","52-14-0","0.788"
"1241","THEORY6","8","235.1","1886","1844","23.3","176.7","33.2","0.46","0.54","","N/A","N/A","N/A","78-17-0","0.821"
"118","Robonauts","9","233.1","1879","1840","27.1","168.3","35.1","0.46","0.74","","N/A","N/A","N/A","62-7-0","0.899"
"1323","MadTown Robotics","10","231.4","1872","1836","27.3","165.6","37.2","0.54","0.58","","N/A","N/A","N/A","49-4-0","0.925"
"1114","Simbotics","11","230.2","1868","1833","23.8","175.4","30.4","0.43","0.35","","N/A","N/A","N/A","55-15-0","0.786"
"624","CRyptonite","12","229.6","1865","1832","26.6","159.9","42","0.57","0.78","","N/A","N/A","N/A","51-14-0","0.785"
"1796","RoboTigers","13","229.6","1865","1832","28","175.7","24.2","0.63","-0.03","","N/A","N/A","N/A","54-9-0","0.857"
"148","Robowranglers","14","229.1","1863","1830","24","171.8","30.8","0.45","0.61","","N/A","N/A","N/A","51-4-0","0.927"
"3357","COMETS","15","228","1859","1828","20.8","176.5","31.2","0.53","0.38","","N/A","N/A","N/A","86-15-0","0.851"
"217","ThunderChickens","16","226.7","1854","1825","22.1","179.4","25.8","0.4","0.17","","N/A","N/A","N/A","79-14-0","0.849"
"3310","Black Hawk Robotics","17","222.1","1836","1814","25.5","170.2","26.8","0.53","0.46","","N/A","N/A","N/A","45-6-0","0.882"
"2910","Jack in the Bot","18","221.3","1833","1812","21.6","169.9","29.2","0.42","-0.04","","N/A","N/A","N/A","62-13-0","0.827"
"1574","MisCar","19","220.4","1830","1810","22.9","165.6","29.1","0.41","0.22","","N/A","N/A","N/A","56-16-0","0.778"
"225","TechFire","20","220.3","1829","1810","23.9","165.6","31.8","0.55","0.43","","N/A","N/A","N/A","76-13-0","0.854"
"2122","Team Tators","21","219.5","1826","1808","24.7","157.8","34","0.57","0.61","","N/A","N/A","N/A","57-14-0","0.803"
"230","Gaelhawks","22","219.2","1825","1807","23.8","169.6","25.2","0.4","0.33","","N/A","N/A","N/A","68-18-0","0.791"
"319","Big Bad Bob","23","219.2","1825","1807","22.9","159.2","36.7","0.44","0.64","","N/A","N/A","N/A","68-19-0","0.782"
