"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"330","The Beach Bots","1","64.4","2020","1916","","","","","","","N/A","N/A","N/A","43-6-0","0.878"
"25","Raider Robotix","2","63.3","2011","1908","","","","","","","N/A","N/A","N/A","32-8-0","0.800"
"1114","Simbotics","3","59.1","1973","1877","","","","","","","N/A","N/A","N/A","46-10-0","0.821"
"148","Robowranglers","4","57.6","1960","1866","","","","","","","N/A","N/A","N/A","29-11-0","0.725"
"365","Miracle Workerz","5","53.8","1927","1838","","","","","","","N/A","N/A","N/A","24-11-0","0.686"
"254","The Cheesy Poofs","6","52.7","1916","1829","","","","","","","N/A","N/A","N/A","37-13-0","0.740"
"233","The Pink Team","7","46.8","1864","1786","","","","","","","N/A","N/A","N/A","28-15-0","0.651"
"968","RAWC (Robotics Alliance Of ...","8","44","1839","1765","","","","","","","N/A","N/A","N/A","15-12-0","0.556"
"854","Iron Bears","9","43.7","1837","1763","","","","","","","N/A","N/A","N/A","24-9-0","0.727"
"1124","UberBots","10","41.9","1821","1749","","","","","","","N/A","N/A","N/A","22-9-0","0.710"
"272","Cyber Crusaders","11","41.9","1821","1749","","","","","","","N/A","N/A","N/A","23-10-0","0.697"
"69","HYPER","12","41.8","1820","1748","","","","","","","N/A","N/A","N/A","24-5-0","0.828"
"836","The RoboBees","13","41.2","1814","1744","","","","","","","N/A","N/A","N/A","12-6-0","0.667"
"100","The Wildhats","14","40.8","1811","1741","","","","","","","N/A","N/A","N/A","26-8-0","0.765"
"668","The Apes of Wrath","15","40","1803","1735","","","","","","","N/A","N/A","N/A","7-6-0","0.538"
"1901","Ramrod","16","38.5","1790","1723","","","","","","","N/A","N/A","N/A","13-9-0","0.591"
"832","OSCAR","17","37.8","1784","1718","","","","","","","N/A","N/A","N/A","17-7-0","0.708"
"191","X-CATS","18","37.7","1783","1718","","","","","","","N/A","N/A","N/A","20-10-0","0.667"
"469","Las Guerrillas","19","37.6","1782","1717","","","","","","","N/A","N/A","N/A","38-18-0","0.679"
"935","RaileRobotics","20","36.5","1772","1709","","","","","","","N/A","N/A","N/A","17-6-0","0.739"
"68","Truck Town Thunder","21","36.3","1771","1708","","","","","","","N/A","N/A","N/A","26-20-0","0.565"
"2056","OP Robotics","22","36.2","1770","1707","","","","","","","N/A","N/A","N/A","36-9-0","0.800"
"1251","TechTigers Robotics","23","35.9","1767","1704","","","","","","","N/A","N/A","N/A","29-10-0","0.744"
"175","Buzz Robotics","24","35.8","1766","1704","","","","","","","N/A","N/A","N/A","20-12-0","0.625"
"27","Team RUSH","25","34.3","1753","1693","","","","","","","N/A","N/A","N/A","23-16-0","0.590"
"1425","Error Code Xero","26","34.3","1753","1692","","","","","","","N/A","N/A","N/A","38-14-0","0.731"
"1736","Robot Casserole","27","33.7","1747","1688","","","","","","","N/A","N/A","N/A","9-3-0","0.750"
"1126","SPARX","28","33.3","1744","1685","","","","","","","N/A","N/A","N/A","26-14-0","0.650"
"1626","Falcon Robotics","29","31.7","1730","1673","","","","","","","N/A","N/A","N/A","27-8-0","0.771"
"987","HIGHROLLERS","30","31.7","1730","1673","","","","","","","N/A","N/A","N/A","29-14-0","0.674"
"56","R.O.B.B.E.","31","31.7","1730","1673","","","","","","","N/A","N/A","N/A","28-10-0","0.737"
"1516","Fightin' Grizzlies","32","31.6","1729","1673","","","","","","","N/A","N/A","N/A","11-4-0","0.733"
"1622","Team Spyder","33","31.6","1729","1673","","","","","","","N/A","N/A","N/A","15-14-0","0.517"
"1772","The Brazilian Trail Blazers","34","31.1","1725","1669","","","","","","","N/A","N/A","N/A","16-9-0","0.640"
"1596","The Instigators","35","31","1723","1668","","","","","","","N/A","N/A","N/A","8-4-0","0.667"
"1592","Bionic Tigers","36","30.9","1723","1667","","","","","","","N/A","N/A","N/A","20-18-0","0.526"
"1100","Inverse Polarity","37","30.6","1720","1665","","","","","","","N/A","N/A","N/A","9-9-0","0.500"
"67","The HOT Team","38","30.4","1719","1664","","","","","","","N/A","N/A","N/A","25-14-0","0.641"
"768","TechnoWarriors","39","29.5","1710","1657","","","","","","","N/A","N/A","N/A","19-12-0","0.613"
"1102","M'Aiken Magic","40","29.4","1709","1656","","","","","","","N/A","N/A","N/A","14-10-0","0.583"
"1775","Tigerbytes","41","29.3","1708","1655","","","","","","","N/A","N/A","N/A","17-5-0","0.773"
"1712","Dawgma","42","29.2","1708","1655","","","","","","","N/A","N/A","N/A","17-9-0","0.654"
"65","The Huskie Brigade","43","29.2","1708","1654","","","","","","","N/A","N/A","N/A","20-17-0","0.541"
"1717","D'Penguineers","44","29.2","1707","1654","","","","","","","N/A","N/A","N/A","20-10-0","0.667"
"121","Rhode Warriors","45","29.1","1707","1654","","","","","","","N/A","N/A","N/A","18-9-0","0.667"
"179","Children of the Swamp","46","29","1706","1653","","","","","","","N/A","N/A","N/A","24-11-0","0.686"
"116","Epsilon Delta","47","28.9","1705","1652","","","","","","","N/A","N/A","N/A","13-10-0","0.565"
"293","SPIKE","48","28.7","1703","1651","","","","","","","N/A","N/A","N/A","25-10-0","0.714"
"75","RoboRaiders","49","28.7","1703","1651","","","","","","","N/A","N/A","N/A","17-10-0","0.630"
"1885","Comet Robotics","50","28.6","1702","1650","","","","","","","N/A","N/A","N/A","17-12-0","0.586"
"79","Team 79 Krunch","51","28.3","1700","1648","","","","","","","N/A","N/A","N/A","21-16-0","0.568"
"701","RoboVikes","52","28.2","1698","1647","","","","","","","N/A","N/A","N/A","23-10-0","0.697"
"1730","Team Driven","53","28.1","1698","1647","","","","","","","N/A","N/A","N/A","21-4-0","0.840"
"573","Mech Warriors","54","28.1","1698","1646","","","","","","","N/A","N/A","N/A","25-11-0","0.694"
"1574","MisCar","55","27.8","1695","1644","","","","","","","N/A","N/A","N/A","25-4-0","0.862"
"237","Black Magic Robotics","56","27.6","1693","1643","","","","","","","N/A","N/A","N/A","16-13-0","0.552"
"103","Cybersonics","57","27.6","1693","1642","","","","","","","N/A","N/A","N/A","25-13-0","0.658"
"234","Cyber Blue","58","27.6","1693","1642","","","","","","","N/A","N/A","N/A","31-12-0","0.721"
"39","The 39th Aero Squadron","59","27.5","1693","1642","","","","","","","N/A","N/A","N/A","26-14-0","0.650"
"364","Team Fusion 364","60","27.3","1690","1640","","","","","","","N/A","N/A","N/A","28-17-0","0.622"
"1006","Fast Eddie Robotics","61","26.8","1687","1637","","","","","","","N/A","N/A","N/A","16-15-0","0.516"
"188","Blizzard","62","26.4","1683","1634","","","","","","","N/A","N/A","N/A","25-15-0","0.625"
"343","Metal-In-Motion","63","26.2","1681","1632","","","","","","","N/A","N/A","N/A","19-14-0","0.576"
"1305","Ice Cubed","64","25.9","1678","1630","","","","","","","N/A","N/A","N/A","30-11-0","0.732"
"1746","FC - Team OTTO","65","25.9","1678","1630","","","","","","","N/A","N/A","N/A","9-7-0","0.563"
"1718","The Fighting Pi","66","25.8","1677","1629","","","","","","","N/A","N/A","N/A","19-8-0","0.704"
"358","Robotic Eagles","67","25.7","1677","1629","","","","","","","N/A","N/A","N/A","13-21-0","0.382"
"1503","Spartonics","68","25.6","1676","1628","","","","","","","N/A","N/A","N/A","30-24-0","0.556"
"1540","Flaming Chickens","69","25.5","1675","1627","","","","","","","N/A","N/A","N/A","26-10-0","0.722"
"180","S.P.A.M.","70","25.5","1675","1627","","","","","","","N/A","N/A","N/A","10-10-0","0.500"
"1680","Fort Erie Secondary School","71","25.4","1674","1626","","","","","","","N/A","N/A","N/A","19-14-0","0.576"
"1369","Minotaur","72","25.4","1674","1626","","","","","","","N/A","N/A","N/A","13-10-0","0.565"
"501","The PowerKnights","73","24.8","1669","1622","","","","","","","N/A","N/A","N/A","24-15-0","0.615"
"648","QC ELITE  Flaming Squirrels","74","24.8","1668","1622","","","","","","","N/A","N/A","N/A","12-12-0","0.500"
"173","RAGE Robotics ⚙️","75","24.3","1664","1618","","","","","","","N/A","N/A","N/A","23-18-0","0.561"
"1501","Team THRUST","76","24.3","1664","1618","","","","","","","N/A","N/A","N/A","10-12-0","0.455"
"2234","Alternating Current","77","24.1","1662","1617","","","","","","","N/A","N/A","N/A","10-8-0","0.556"
"291","CIA - Creativity In Action","78","24","1661","1616","","","","","","","N/A","N/A","N/A","24-12-0","0.667"
"1153","Timberwolves","79","23.8","1659","1614","","","","","","","N/A","N/A","N/A","13-10-0","0.565"
"494","Martians","80","23.8","1659","1614","","","","","","","N/A","N/A","N/A","40-17-0","0.702"
"1657","Hamosad","81","23.7","1659","1614","","","","","","","N/A","N/A","N/A","17-10-0","0.630"
"118","Robonauts","82","23.7","1659","1614","","","","","","","N/A","N/A","N/A","31-15-0","0.674"
"280","TnT","83","23.6","1657","1612","","","","","","","N/A","N/A","N/A","4-3-0","0.571"
"653","NOSIDE","84","23.4","1656","1611","","","","","","","N/A","N/A","N/A","5-4-0","0.556"
"226","Hammerheads","85","23.3","1655","1611","","","","","","","N/A","N/A","N/A","14-9-0","0.609"
"1795","Carver Clutch","86","23.3","1655","1610","","","","","","","N/A","N/A","N/A","4-3-0","0.571"
"1158","The Corps","87","23.2","1654","1610","","","","","","","N/A","N/A","N/A","15-7-0","0.682"
"375","Robotic Plague","88","23.1","1653","1609","","","","","","","N/A","N/A","N/A","29-17-0","0.630"
"74","Team CHAOS","89","23","1653","1609","","","","","","","N/A","N/A","N/A","14-18-0","0.438"
"1726","N.E.R.D.S. (Nifty Engineeri...","90","23","1652","1608","","","","","","","N/A","N/A","N/A","18-11-0","0.621"
"40","Checkmate","91","22.9","1652","1608","","","","","","","N/A","N/A","N/A","15-11-0","0.577"
"354","G-House Pirates","92","22.9","1652","1608","","","","","","","N/A","N/A","N/A","23-19-0","0.548"
"107","Team R.O.B.O.T.I.C.S.","93","22.9","1651","1607","","","","","","","N/A","N/A","N/A","19-18-0","0.514"
"1973","Burning Tiger   #1973","94","22.8","1651","1607","","","","","","","N/A","N/A","N/A","7-5-0","0.583"
"85","B.O.B. (Built on Brains)","95","22.8","1651","1607","","","","","","","N/A","N/A","N/A","26-14-0","0.650"
"34","Rockets","96","22.8","1651","1607","","","","","","","N/A","N/A","N/A","15-17-0","0.469"
"229","Division By Zero","97","22.6","1649","1605","","","","","","","N/A","N/A","N/A","28-17-0","0.622"
"1155","SciBorgs","98","22.6","1648","1605","","","","","","","N/A","N/A","N/A","15-12-0","0.556"
"1403","Team 1403 Cougar Robotics","99","22.2","1645","1602","","","","","","","N/A","N/A","N/A","16-14-0","0.533"
"360","The Revolution","100","22.2","1645","1602","","","","","","","N/A","N/A","N/A","3-7-0","0.300"
