"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"67","The HOT Team","1","46.4","1969","1842","","","","","","","N/A","N/A","N/A","79-7-0","0.919"
"2056","OP Robotics","2","45.1","1948","1827","","","","","","","N/A","N/A","N/A","37-5-0","0.881"
"1114","Simbotics","3","43.5","1921","1808","","","","","","","N/A","N/A","N/A","29-9-0","0.763"
"217","ThunderChickens","4","42.8","1910","1800","","","","","","","N/A","N/A","N/A","70-14-0","0.833"
"968","RAWC (Robotics Alliance Of ...","5","42.4","1904","1795","","","","","","","N/A","N/A","N/A","12-2-0","0.857"
"111","WildStang","6","41.4","1887","1783","","","","","","","N/A","N/A","N/A","38-8-0","0.826"
"399","Eagle Robotics","7","39.6","1857","1762","","","","","","","N/A","N/A","N/A","32-8-0","0.800"
"71","Team Hammond","8","39.5","1855","1760","","","","","","","N/A","N/A","N/A","29-8-0","0.784"
"103","Cybersonics","9","38.7","1842","1751","","","","","","","N/A","N/A","N/A","33-8-0","0.805"
"40","Checkmate","10","38.6","1841","1750","","","","","","","N/A","N/A","N/A","30-10-0","0.750"
"1918","NC GEARS","11","38.4","1838","1748","","","","","","","N/A","N/A","N/A","60-25-0","0.706"
"1625","Winnovation","12","38.3","1836","1747","","","","","","","N/A","N/A","N/A","33-8-0","0.805"
"624","CRyptonite","13","37.6","1825","1739","","","","","","","N/A","N/A","N/A","29-11-0","0.725"
"1717","D'Penguineers","14","37.6","1825","1738","","","","","","","N/A","N/A","N/A","35-7-0","0.833"
"188","Blizzard","15","37.4","1822","1736","","","","","","","N/A","N/A","N/A","33-14-0","0.702"
"1507","Warlocks","16","37","1815","1731","","","","","","","N/A","N/A","N/A","34-11-0","0.756"
"175","Buzz Robotics","17","36.9","1813","1730","","","","","","","N/A","N/A","N/A","29-9-0","0.763"
"1771","North Gwinnett Robotics","18","36.1","1799","1720","","","","","","","N/A","N/A","N/A","27-12-0","0.692"
"234","Cyber Blue","19","35.9","1796","1718","","","","","","","N/A","N/A","N/A","34-10-0","0.773"
"1218","SCH Robotics","20","35.6","1791","1714","","","","","","","N/A","N/A","N/A","33-11-0","0.750"
"694","StuyPulse","21","35.3","1786","1711","","","","","","","N/A","N/A","N/A","16-7-0","0.696"
"79","Team 79 Krunch","22","35.2","1785","1710","","","","","","","N/A","N/A","N/A","29-14-0","0.674"
"1806","S.W.A.T.","23","35.2","1785","1710","","","","","","","N/A","N/A","N/A","31-10-0","0.756"
"121","Rhode Warriors","24","35","1782","1708","","","","","","","N/A","N/A","N/A","33-11-0","0.750"
"254","The Cheesy Poofs","25","34.5","1774","1702","","","","","","","N/A","N/A","N/A","28-11-0","0.718"
"2199","Robo-Lions","26","34.3","1770","1699","","","","","","","N/A","N/A","N/A","19-8-0","0.704"
"1726","N.E.R.D.S. (Nifty Engineeri...","27","34.3","1769","1698","","","","","","","N/A","N/A","N/A","28-8-0","0.778"
"69","HYPER","28","34","1765","1695","","","","","","","N/A","N/A","N/A","17-7-0","0.708"
"1622","Team Spyder","29","33.8","1762","1694","","","","","","","N/A","N/A","N/A","28-13-0","0.683"
"910","The Foley Freeze","30","33.8","1762","1694","","","","","","","N/A","N/A","N/A","33-28-0","0.541"
"395","2 Train Robotics","31","33.5","1757","1690","","","","","","","N/A","N/A","N/A","21-11-0","0.656"
"1155","SciBorgs","32","33.2","1752","1686","","","","","","","N/A","N/A","N/A","27-9-0","0.750"
"2753","Team Overdrive","33","33","1749","1684","","","","","","","N/A","N/A","N/A","30-10-0","0.750"
"45","TechnoKats Robotics Team","34","33","1748","1683","","","","","","","N/A","N/A","N/A","30-8-0","0.789"
"27","Team RUSH","35","32.9","1746","1682","","","","","","","N/A","N/A","N/A","31-21-0","0.596"
"1318","Issaquah Robotics Society","36","32.8","1746","1682","","","","","","","N/A","N/A","N/A","30-8-0","0.789"
"1126","SPARX","37","32.7","1744","1680","","","","","","","N/A","N/A","N/A","10-11-0","0.476"
"56","R.O.B.B.E.","38","32.6","1741","1678","","","","","","","N/A","N/A","N/A","26-13-0","0.667"
"201","The FEDS","39","32.5","1740","1677","","","","","","","N/A","N/A","N/A","36-18-0","0.667"
"375","Robotic Plague","40","32.4","1739","1677","","","","","","","N/A","N/A","N/A","16-5-0","0.762"
"245","Adambots","41","32.3","1738","1676","","","","","","","N/A","N/A","N/A","40-22-0","0.645"
"987","HIGHROLLERS","42","32.2","1735","1674","","","","","","","N/A","N/A","N/A","26-11-0","0.703"
"2081","Icarus","43","32.2","1735","1674","","","","","","","N/A","N/A","N/A","8-5-0","0.615"
"1503","Spartonics","44","32.1","1734","1673","","","","","","","N/A","N/A","N/A","22-12-0","0.647"
"1100","Inverse Polarity","45","32.1","1733","1673","","","","","","","N/A","N/A","N/A","21-6-0","0.778"
"2970","eSchool eBots","46","31.9","1730","1670","","","","","","","N/A","N/A","N/A","31-9-0","0.775"
"20","The Rocketeers","47","31.8","1728","1669","","","","","","","N/A","N/A","N/A","24-9-0","0.727"
"118","Robonauts","48","31.7","1727","1668","","","","","","","N/A","N/A","N/A","23-14-0","0.622"
"1714","MORE Robotics","49","31.7","1727","1668","","","","","","","N/A","N/A","N/A","23-8-0","0.742"
"469","Las Guerrillas","50","31.5","1724","1666","","","","","","","N/A","N/A","N/A","27-24-0","0.529"
"2377","C Company","51","31.5","1723","1665","","","","","","","N/A","N/A","N/A","20-11-0","0.645"
"1388","Eagle Robotics","52","31.3","1720","1663","","","","","","","N/A","N/A","N/A","21-6-0","0.778"
"122","NASA Knights","53","31.2","1718","1662","","","","","","","N/A","N/A","N/A","15-13-0","0.536"
"1250","Gator-Bots","54","31.1","1717","1661","","","","","","","N/A","N/A","N/A","43-25-0","0.632"
"716","Who'sCTEKS","55","31","1715","1660","","","","","","","N/A","N/A","N/A","12-9-0","0.571"
"1158","The Corps","56","31","1715","1660","","","","","","","N/A","N/A","N/A","21-10-0","0.677"
"287","Floyd Robotics","57","30.9","1714","1659","","","","","","","N/A","N/A","N/A","21-12-0","0.636"
"126","Gael Force","58","30.9","1714","1659","","","","","","","N/A","N/A","N/A","23-12-0","0.657"
"68","Truck Town Thunder","59","30.9","1714","1658","","","","","","","N/A","N/A","N/A","48-31-0","0.608"
"222","Tigertrons","60","30.8","1713","1658","","","","","","","N/A","N/A","N/A","34-9-0","0.791"
"16","Bomb Squad","61","30.8","1712","1657","","","","","","","N/A","N/A","N/A","25-10-0","0.714"
"102","The Gearheads","62","30.8","1712","1657","","","","","","","N/A","N/A","N/A","24-12-0","0.667"
"1279","Cold Fusion","63","30.6","1709","1655","","","","","","","N/A","N/A","N/A","18-9-0","0.667"
"1732","Hilltopper Robotics","64","30.3","1705","1652","","","","","","","N/A","N/A","N/A","19-12-0","0.613"
"1124","UberBots","65","30.3","1704","1652","","","","","","","N/A","N/A","N/A","10-8-0","0.556"
"1208","Metool Brigade","66","30.2","1703","1651","","","","","","","N/A","N/A","N/A","29-13-0","0.690"
"1649","Lakerbotics","67","30","1699","1648","","","","","","","N/A","N/A","N/A","19-8-0","0.704"
"85","B.O.B. (Built on Brains)","68","30","1699","1648","","","","","","","N/A","N/A","N/A","41-24-0","0.631"
"1701","RoboCubs","69","29.9","1698","1647","","","","","","","N/A","N/A","N/A","26-19-0","0.578"
"973","Greybots","70","29.9","1697","1646","","","","","","","N/A","N/A","N/A","24-12-0","0.667"
"1574","MisCar","71","29.8","1696","1646","","","","","","","N/A","N/A","N/A","10-4-0","0.714"
"768","TechnoWarriors","72","29.7","1695","1645","","","","","","","N/A","N/A","N/A","22-13-0","0.629"
"612","Chantilly Robotics","73","29.6","1692","1643","","","","","","","N/A","N/A","N/A","23-9-0","0.719"
"330","The Beach Bots","74","29.5","1691","1643","","","","","","","N/A","N/A","N/A","18-10-0","0.643"
"1538","The Holy Cows","75","29.5","1691","1642","","","","","","","N/A","N/A","N/A","26-18-0","0.591"
"1332","SWIFT","76","29.5","1690","1642","","","","","","","N/A","N/A","N/A","30-10-0","0.750"
"115","MVRT","77","29.4","1688","1640","","","","","","","N/A","N/A","N/A","17-15-0","0.531"
"25","Raider Robotix","78","29.3","1688","1640","","","","","","","N/A","N/A","N/A","26-12-0","0.684"
"135","Penn Robotics Black Knights","79","29.3","1688","1640","","","","","","","N/A","N/A","N/A","26-19-0","0.578"
"343","Metal-In-Motion","80","29.1","1684","1638","","","","","","","N/A","N/A","N/A","25-16-0","0.610"
"33","Killer Bees","81","29.1","1684","1637","","","","","","","N/A","N/A","N/A","28-25-0","0.528"
"852","ARC Robotics","82","29","1683","1636","","","","","","","N/A","N/A","N/A","23-9-0","0.719"
"233","The Pink Team","83","29","1682","1636","","","","","","","N/A","N/A","N/A","18-15-0","0.545"
"1539","Clover Eagle Robotics","84","29","1682","1636","","","","","","","N/A","N/A","N/A","5-4-0","0.556"
"704","Warriors","85","28.9","1682","1635","","","","","","","N/A","N/A","N/A","21-12-0","0.636"
"604","Quixilver","86","28.9","1681","1635","","","","","","","N/A","N/A","N/A","16-14-0","0.533"
"2992","The S.S. Prometheus","87","28.9","1681","1635","","","","","","","N/A","N/A","N/A","13-8-0","0.619"
"425","Spartans","88","28.8","1680","1634","","","","","","","N/A","N/A","N/A","15-14-0","0.517"
"346","RoboHawks","89","28.8","1679","1634","","","","","","","N/A","N/A","N/A","23-8-0","0.742"
"744","Shark Attack","90","28.8","1679","1634","","","","","","","N/A","N/A","N/A","14-8-0","0.636"
"1519","Mechanical Mayhem","91","28.8","1679","1633","","","","","","","N/A","N/A","N/A","10-7-0","0.588"
"1086","Blue Cheese","92","28.8","1679","1633","","","","","","","N/A","N/A","N/A","13-7-0","0.650"
"1153","Timberwolves","93","28.7","1678","1633","","","","","","","N/A","N/A","N/A","20-6-0","0.769"
"151","Tough Techs","94","28.7","1678","1633","","","","","","","N/A","N/A","N/A","12-5-0","0.706"
"280","TnT","95","28.7","1677","1632","","","","","","","N/A","N/A","N/A","24-23-0","0.511"
"931","Perpetual Chaos","96","28.6","1677","1632","","","","","","","N/A","N/A","N/A","25-16-0","0.610"
"2506","Saber Robotics","97","28.6","1676","1632","","","","","","","N/A","N/A","N/A","18-9-0","0.667"
"1939","THE KUHNIGHTS","98","28.5","1675","1630","","","","","","","N/A","N/A","N/A","15-8-0","0.652"
"61","BVT Robotics","99","28.5","1674","1630","","","","","","","N/A","N/A","N/A","25-7-0","0.781"
"100","The Wildhats","100","28.5","1674","1630","","","","","","","N/A","N/A","N/A","18-9-0","0.667"
