"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1323","MadTown Robotics","1","84.2","1954","2005","21.1","51.7","9.7","0.86","0.69","","N/A","N/A","N/A","52-1-0","0.981"
"2056","OP Robotics","2","83.7","1950","2001","19.3","52.9","8.2","0.91","0.59","","N/A","N/A","N/A","61-8-0","0.884"
"1678","Citrus Circuits","3","77.8","1894","1951","18.5","43.2","11.8","0.84","0.67","","N/A","N/A","N/A","62-7-0","0.899"
"6329","The Bucks' Wrath","4","77.4","1889","1947","17.4","46.1","10.3","0.76","0.5","","N/A","N/A","N/A","55-14-0","0.797"
"254","The Cheesy Poofs","5","77.1","1887","1945","18.6","46.2","9.3","0.89","0.45","","N/A","N/A","N/A","36-5-0","0.878"
"3005","RoboChargers","6","75.9","1875","1934","18.7","47","7.1","0.75","0.34","","N/A","N/A","N/A","58-12-0","0.829"
"5940","BREAD","7","75.1","1867","1928","19.7","44.1","8.9","0.66","0.48","","N/A","N/A","N/A","40-9-0","0.816"
"2046","Bear Metal","8","74.9","1865","1926","18.3","42.8","10.4","0.86","0.52","","N/A","N/A","N/A","61-21-0","0.744"
"2910","Jack in the Bot","9","74.4","1861","1922","17.8","43.9","8.6","0.96","0.31","","N/A","N/A","N/A","69-16-0","0.812"
"6036","Peninsula Robotics","10","73.5","1853","1915","16.5","46.3","7.8","0.81","0.36","","N/A","N/A","N/A","49-18-0","0.731"
"1577","Steampunk","11","72.3","1841","1904","12.9","46.3","9.7","0.75","0.38","","N/A","N/A","N/A","51-12-0","0.810"
"3538","RoboJackets","12","72.2","1839","1903","15.5","43.9","10.6","0.59","0.74","","N/A","N/A","N/A","65-20-0","0.765"
"4678","CyberCavs","13","71.7","1835","1899","19.6","43","7.2","0.62","0.4","","N/A","N/A","N/A","46-8-0","0.852"
"2468","Team Appreciate","14","71.7","1835","1899","20","43.1","8.1","0.67","0.58","","N/A","N/A","N/A","53-9-0","0.855"
"1325","Inverse Paradox","15","71.6","1834","1898","19.1","40.6","9.5","0.58","0.44","","N/A","N/A","N/A","60-26-0","0.698"
"930","Mukwonago BEARs","16","71.4","1832","1897","16.5","44.3","9.3","0.83","0.49","","N/A","N/A","N/A","47-13-0","0.783"
"111","WildStang","17","71.3","1831","1895","18.8","42.1","9.1","0.62","0.52","","N/A","N/A","N/A","38-5-0","0.884"
"2075","Enigma Robotics","18","70.6","1824","1890","16.6","41.1","9.7","0.6","0.45","","N/A","N/A","N/A","55-15-0","0.786"
"1731","Fresta Valley Robotics Club","19","70","1819","1885","17.9","41.1","8.6","0.5","0.47","","N/A","N/A","N/A","48-16-0","0.750"
"3467","Windham Windup","20","69.8","1817","1883","16.7","41.5","8.5","0.72","0.49","","N/A","N/A","N/A","55-17-0","0.764"
"4522","Team SCREAM","21","68.9","1808","1875","15.1","40.1","11.4","0.72","0.49","","N/A","N/A","N/A","55-15-0","0.786"
"4414","HighTide","22","68.8","1807","1874","14.3","45.7","8.1","0.68","0.47","","N/A","N/A","N/A","60-10-0","0.857"
"133","B.E.R.T.","23","68.8","1807","1874","18.7","39","10.6","0.73","0.7","","N/A","N/A","N/A","42-11-0","0.792"
"4028","The Beak Squad","24","68.7","1806","1873","17.8","39.9","9.7","0.66","0.43","","N/A","N/A","N/A","34-13-0","0.723"
"1756","Argos","25","68.5","1805","1872","15.4","42.2","8.5","0.48","0.52","","N/A","N/A","N/A","40-12-0","0.769"
"1727","REX","26","68.5","1804","1872","16.5","42","7","0.59","0.42","","N/A","N/A","N/A","51-17-0","0.750"
"176","Aces High","27","68.4","1803","1870","17","40.2","8.6","0.7","0.53","","N/A","N/A","N/A","56-15-0","0.789"
"2767","Stryke Force","28","68.3","1802","1870","19","40","8.2","0.66","0.61","","N/A","N/A","N/A","52-14-0","0.788"
"125","NUTRONs","29","68","1799","1867","17","38","11","0.45","0.49","","N/A","N/A","N/A","62-25-0","0.713"
"118","Robonauts","30","67.8","1798","1866","17.8","37.8","10","0.91","0.64","","N/A","N/A","N/A","88-16-0","0.846"
"973","Greybots","31","67.6","1796","1864","15.5","42.7","8.4","0.61","0.49","","N/A","N/A","N/A","52-13-0","0.800"
"2521","SERT","32","67.5","1795","1863","16","40.6","9.5","0.66","0.43","","N/A","N/A","N/A","39-25-0","0.609"
"2363","Triple Helix Robotics","33","67.5","1794","1863","14.6","41.7","8.2","0.55","0.44","","N/A","N/A","N/A","53-12-0","0.815"
"1690","Orbit","34","67.3","1792","1861","16.7","40.1","8.4","0.62","0.49","","N/A","N/A","N/A","49-15-0","0.766"
"4499","The Highlanders","35","66.9","1789","1858","17.3","40.4","6.7","0.56","0.41","","N/A","N/A","N/A","50-14-0","0.781"
"2539","Krypton Cougars","36","66.8","1788","1857","15.3","40","10","0.78","0.57","","N/A","N/A","N/A","58-15-0","0.795"
"3314","Mechanical Mustangs","37","66.8","1788","1857","15.3","42.5","8.2","0.7","0.42","","N/A","N/A","N/A","67-20-0","0.770"
"5472","The Wyld Stallyns","38","66.7","1787","1856","14.2","41.9","8.4","0.6","0.42","","N/A","N/A","N/A","43-19-0","0.694"
"2338","Gear It Forward","39","66.6","1786","1856","14.4","41.5","8.8","0.73","0.51","","N/A","N/A","N/A","35-11-0","0.761"
"7407","Wired Boars","40","66.6","1786","1856","17.7","38.9","7.5","0.61","0.25","","N/A","N/A","N/A","42-25-0","0.627"
"4391","BraveBots","41","66.6","1786","1855","16.1","38.8","8.3","0.55","0.4","","N/A","N/A","N/A","55-22-0","0.714"
"148","Robowranglers","42","66.4","1784","1854","12.5","42.3","9.6","0.64","0.35","","N/A","N/A","N/A","49-24-0","0.671"
"1987","Broncobots","43","66.4","1784","1854","15.7","42.5","7.2","0.85","0.56","","N/A","N/A","N/A","37-9-0","0.804"
"1114","Simbotics","44","66.1","1781","1851","13.2","42.7","8","0.59","0.44","","N/A","N/A","N/A","49-16-0","0.754"
"195","CyberKnights","45","65.9","1780","1850","15.8","40.4","7.8","0.74","0.47","","N/A","N/A","N/A","50-16-0","0.758"
"1318","Issaquah Robotics Society","46","65.8","1778","1848","16.1","39.6","7.2","0.47","0.53","","N/A","N/A","N/A","44-30-0","0.595"
"1619","Up-A-Creek Robotics","47","65.7","1777","1847","16.9","37.5","8.6","0.38","0.54","","N/A","N/A","N/A","34-11-0","0.756"
"5460","Strike Zone","48","65.7","1777","1847","14.1","42.3","7.4","0.64","0.34","","N/A","N/A","N/A","64-28-0","0.696"
"67","The HOT Team","49","65.6","1777","1847","16.8","39.3","7.4","0.64","0.25","","N/A","N/A","N/A","50-13-0","0.794"
"3476","Code Orange","50","65.4","1775","1845","16.3","38.7","7.8","0.49","0.39","","N/A","N/A","N/A","36-17-0","0.679"
"7157","μBotics","51","65.3","1774","1844","12.5","43","8.4","0.59","0.41","","N/A","N/A","N/A","33-11-0","0.750"
"1538","The Holy Cows","52","65","1770","1842","15.4","39.8","9","0.39","0.42","","N/A","N/A","N/A","33-13-0","0.717"
"6672","Fusion Corps","53","64.5","1766","1837","11.8","42.2","8.2","0.65","0.29","","N/A","N/A","N/A","55-19-0","0.743"
"695","Bison Robotics","54","64.3","1764","1836","14.6","40.2","7","0.63","0.4","","N/A","N/A","N/A","52-11-0","0.825"
"5166","Fabricators","55","64.2","1763","1835","17.4","35.7","7.7","0.47","0.34","","N/A","N/A","N/A","42-21-0","0.667"
"4143","MARS/WARS","56","64","1761","1833","16.5","34.6","10.9","0.47","0.46","","N/A","N/A","N/A","42-9-0","0.824"
"7457","suPURDUEper Robotics","57","63.7","1758","1831","14.2","41.6","7.3","0.55","0.43","","N/A","N/A","N/A","46-15-0","0.754"
"3357","COMETS","58","63.6","1757","1830","17","34.6","10","0.72","0.54","","N/A","N/A","N/A","63-20-0","0.759"
"4946","The Alpha Dogs","59","63.6","1757","1830","15.8","37.3","8.6","0.52","0.35","","N/A","N/A","N/A","45-21-0","0.682"
"2930","Sonic Squirrels","60","63.5","1756","1829","17.1","37.4","7.7","0.43","0.33","","N/A","N/A","N/A","44-18-0","0.710"
"5895","Peddie Robotics","61","63.5","1756","1829","14.2","39","7.3","0.59","0.38","","N/A","N/A","N/A","53-17-0","0.757"
"4039","MakeShift Robotics","62","63.5","1756","1829","15.4","36.7","9.1","0.29","0.49","","N/A","N/A","N/A","45-18-0","0.714"
"3039","Wildcat Robotics","63","63.4","1755","1828","16.3","38","7.8","0.51","0.41","","N/A","N/A","N/A","50-17-0","0.746"
"624","CRyptonite","64","63.3","1755","1828","15.8","35.4","10.4","0.52","0.41","","N/A","N/A","N/A","44-23-0","0.657"
"6090","Wayland Wildcats","65","63.3","1755","1827","16.6","34.4","10.4","0.46","0.58","","N/A","N/A","N/A","46-24-0","0.657"
"1768","Nashoba Robotics","66","63.2","1754","1827","14.7","38.4","8.4","0.58","0.44","","N/A","N/A","N/A","55-21-0","0.724"
"4255","Robodores","67","63.1","1753","1826","18.1","36.2","7.9","0.42","0.34","","N/A","N/A","N/A","19-9-0","0.679"
"972","Iron Claw","68","62.9","1751","1824","14.6","38","8.4","0.5","0.31","","N/A","N/A","N/A","40-27-0","0.597"
"604","Quixilver","69","62.9","1750","1824","13.6","38.4","10","0.45","0.53","","N/A","N/A","N/A","28-16-0","0.636"
"51","Wings of Fire","70","62.8","1750","1823","14.6","37","9.1","0.46","0.5","","N/A","N/A","N/A","51-19-0","0.729"
"1718","The Fighting Pi","71","62.8","1749","1823","15.6","36.3","8","0.43","0.4","","N/A","N/A","N/A","51-16-0","0.761"
"1923","The MidKnight Inventors","72","62.7","1749","1822","13.2","39.6","10.1","0.45","0.67","","N/A","N/A","N/A","47-22-0","0.681"
"6424","Stealth Panther Robotics","73","62.4","1746","1820","16.8","35.4","8.1","0.45","0.54","","N/A","N/A","N/A","48-10-0","0.828"
"230","Gaelhawks","74","62.4","1745","1819","16","36","8.1","0.63","0.35","","N/A","N/A","N/A","60-16-0","0.789"
"494","Martians","75","62.3","1745","1819","16.9","34.7","8.4","0.43","0.62","","N/A","N/A","N/A","45-21-0","0.682"
"2974","Walton Robotics","76","62.3","1744","1818","15.9","37.4","6.9","0.6","0.31","","N/A","N/A","N/A","46-15-0","0.754"
"341","Miss Daisy","77","62.2","1744","1818","14.1","37.2","8.8","0.42","0.51","","N/A","N/A","N/A","42-19-0","0.689"
"3937","Breakaway","78","62.2","1744","1818","15.7","38.6","7.2","0.52","0.33","","N/A","N/A","N/A","47-16-0","0.746"
"103","Cybersonics","79","62.2","1744","1818","12.6","40.4","8.5","0.55","0.31","","N/A","N/A","N/A","43-15-0","0.741"
"4381","Twisted Devils","80","62","1742","1817","17.7","35.3","7.3","0.54","0.46","","N/A","N/A","N/A","66-16-0","0.805"
"1591","Greece Gladiators","81","61.9","1741","1816","17.2","34.4","8.3","0.41","0.38","","N/A","N/A","N/A","33-9-0","0.786"
"461","Westside Boiler Invasion","82","61.9","1741","1815","14.3","37.2","7.1","0.38","0.25","","N/A","N/A","N/A","47-24-0","0.662"
"3636","Generals","83","61.8","1740","1815","12.4","37.8","9.6","0.32","0.35","","N/A","N/A","N/A","39-25-0","0.609"
"3175","Knight Vision","84","61.8","1740","1815","17.2","33.3","9.9","0.7","0.68","","N/A","N/A","N/A","54-13-0","0.806"
"3683","Team DAVE","85","61.5","1737","1812","13.4","39.9","6.6","0.67","0.2","","N/A","N/A","N/A","51-15-0","0.773"
"3655","Tractor Technicians","86","61.5","1737","1812","14.3","37","8.2","0.57","0.27","","N/A","N/A","N/A","55-22-0","0.714"
"4362","Gems","87","61.3","1735","1810","15.4","36.7","7.4","0.74","0.39","","N/A","N/A","N/A","41-22-0","0.651"
"694","StuyPulse","88","61.3","1735","1810","14.9","36.4","9.1","0.52","0.56","","N/A","N/A","N/A","49-13-0","0.790"
"33","Killer Bees","89","61.2","1735","1810","15.4","35.8","8.6","0.43","0.44","","N/A","N/A","N/A","45-18-0","0.714"
"2687","Team Apprentice","90","61.2","1735","1810","14","39.3","7.3","0.51","0.47","","N/A","N/A","N/A","42-20-0","0.677"
"987","HIGHROLLERS","91","61.2","1734","1809","15.2","38.2","6.5","0.55","0.32","","N/A","N/A","N/A","30-16-0","0.652"
"3015","Ranger Robotics","92","61.1","1734","1809","14.5","37.4","8.7","0.54","0.44","","N/A","N/A","N/A","44-14-0","0.759"
"3310","Black Hawk Robotics","93","61.1","1733","1808","13.2","38.8","7.7","0.61","0.41","","N/A","N/A","N/A","40-23-0","0.635"
"3218","Panther Robotics","94","61","1732","1808","14.4","33.3","11.9","0.3","0.45","","N/A","N/A","N/A","41-23-0","0.641"
"581","Blazing Bulldogs","95","60.9","1732","1807","13.5","39.2","8","0.62","0.48","","N/A","N/A","N/A","17-10-0","0.630"
"2659","RoboWarriors","96","60.9","1731","1807","14.2","37","8.4","0.59","0.42","","N/A","N/A","N/A","38-10-0","0.792"
"88","TJ²","97","60.8","1731","1806","12.7","36.4","10.6","0.39","0.3","","N/A","N/A","N/A","46-22-0","0.676"
"8033","Highlander Robotics","98","60.8","1731","1806","11.9","39.1","8.7","0.53","0.38","","N/A","N/A","N/A","33-17-0","0.660"
"4907","Thunderstamps","99","60.8","1730","1806","14.9","36.4","7.8","0.64","0.36","","N/A","N/A","N/A","49-17-0","0.742"
"4272","Maverick Robotics","100","60.6","1728","1804","15.6","36","7.5","0.45","0.16","","N/A","N/A","N/A","39-21-0","0.650"
